kód,adm1_code,iso_3166_2,kraj
CZ010,CZE-1595,CZ-PR,Praha
CZ020,CZE-1596,CZ-ST,Středočeský
CZ031,CZE-1593,CZ-JC,Jihočeský
CZ032,CZE-10369,CZ-PL,Plzeňský
CZ041,CZE-1590,CZ-KA,Karlovarský
CZ042,CZE-10368,CZ-US,Ústecký
CZ051,CZE-1597,CZ-LI,Liberecký
CZ052,CZE-1598,CZ-KR,Královéhradecký
CZ053,CZE-10373,CZ-PA,Pardubický
CZ063,CZE-1594,CZ-VY,Vysočina
CZ064,CZE-10370,CZ-JM,Jihomoravský
CZ071,CZE-10372,CZ-OL,Olomoucký
CZ072,CZE-10371,CZ-ZL,Zlínský
CZ080,CZE-1612,CZ-MO,Moravskoslezský
