code,age,value,iso_code
10,0,14566,CZ010
10,1,14655,CZ010
10,2,15013,CZ010
10,3,14922,CZ010
10,4,14650,CZ010
10,5,14652,CZ010
10,6,14517,CZ010
10,7,13824,CZ010
10,8,14161,CZ010
10,9,13686,CZ010
10,10,14464,CZ010
10,11,14297,CZ010
10,12,14034,CZ010
10,13,13220,CZ010
10,14,12163,CZ010
10,15,10980,CZ010
10,16,10328,CZ010
10,17,9716,CZ010
10,18,10090,CZ010
10,19,11114,CZ010
10,20,10958,CZ010
10,21,10530,CZ010
10,22,10649,CZ010
10,23,11301,CZ010
10,24,11714,CZ010
10,25,12987,CZ010
10,26,14294,CZ010
10,27,16281,CZ010
10,28,17253,CZ010
10,29,19329,CZ010
10,30,20642,CZ010
10,31,20974,CZ010
10,32,22202,CZ010
10,33,22239,CZ010
10,34,22823,CZ010
10,35,22921,CZ010
10,36,22982,CZ010
10,37,22604,CZ010
10,38,23014,CZ010
10,39,22782,CZ010
10,40,23542,CZ010
10,41,25641,CZ010
10,42,25816,CZ010
10,43,25257,CZ010
10,44,24959,CZ010
10,45,24593,CZ010
10,46,24225,CZ010
10,47,22019,CZ010
10,48,19630,CZ010
10,49,18674,CZ010
10,50,17659,CZ010
10,51,16370,CZ010
10,52,15718,CZ010
10,53,15823,CZ010
10,54,15389,CZ010
10,55,16213,CZ010
10,56,16888,CZ010
10,57,16182,CZ010
10,58,14229,CZ010
10,59,13335,CZ010
10,60,12934,CZ010
10,61,12216,CZ010
10,62,13091,CZ010
10,63,13821,CZ010
10,64,14218,CZ010
10,65,14582,CZ010
10,66,14926,CZ010
10,67,14873,CZ010
10,68,14953,CZ010
10,69,14748,CZ010
10,70,13937,CZ010
10,71,13550,CZ010
10,72,13914,CZ010
10,73,14632,CZ010
10,74,14893,CZ010
10,75,11989,CZ010
10,76,12403,CZ010
10,77,11362,CZ010
10,78,9179,CZ010
10,79,7984,CZ010
10,80,7076,CZ010
10,81,5820,CZ010
10,82,5539,CZ010
10,83,4913,CZ010
10,84,4508,CZ010
10,85,4108,CZ010
10,86,3756,CZ010
10,87,3534,CZ010
10,88,3331,CZ010
10,89,2832,CZ010
10,90,2496,CZ010
10,91,1898,CZ010
10,92,1559,CZ010
10,93,1162,CZ010
10,94,859,CZ010
10,95,569,CZ010
10,96,464,CZ010
10,97,338,CZ010
10,98,180,CZ010
10,99,116,CZ010
10,100,128,CZ010
20,0,14684,CZ020
20,1,15552,CZ020
20,2,15986,CZ020
20,3,16903,CZ020
20,4,16626,CZ020
20,5,16731,CZ020
20,6,16810,CZ020
20,7,16488,CZ020
20,8,16626,CZ020
20,9,16912,CZ020
20,10,17803,CZ020
20,11,17790,CZ020
20,12,17959,CZ020
20,13,16993,CZ020
20,14,15418,CZ020
20,15,14732,CZ020
20,16,13869,CZ020
20,17,13035,CZ020
20,18,12994,CZ020
20,19,12529,CZ020
20,20,12074,CZ020
20,21,11528,CZ020
20,22,11746,CZ020
20,23,12009,CZ020
20,24,12042,CZ020
20,25,12718,CZ020
20,26,13811,CZ020
20,27,15733,CZ020
20,28,16063,CZ020
20,29,17055,CZ020
20,30,17301,CZ020
20,31,17389,CZ020
20,32,18199,CZ020
20,33,18232,CZ020
20,34,18901,CZ020
20,35,19606,CZ020
20,36,19853,CZ020
20,37,20193,CZ020
20,38,20620,CZ020
20,39,21168,CZ020
20,40,22484,CZ020
20,41,24972,CZ020
20,42,25972,CZ020
20,43,26289,CZ020
20,44,26359,CZ020
20,45,26922,CZ020
20,46,26680,CZ020
20,47,24691,CZ020
20,48,22137,CZ020
20,49,20667,CZ020
20,50,19620,CZ020
20,51,18470,CZ020
20,52,17420,CZ020
20,53,17322,CZ020
20,54,16927,CZ020
20,55,17391,CZ020
20,56,18199,CZ020
20,57,17115,CZ020
20,58,15363,CZ020
20,59,14551,CZ020
20,60,14027,CZ020
20,61,13854,CZ020
20,62,15041,CZ020
20,63,16029,CZ020
20,64,16636,CZ020
20,65,16573,CZ020
20,66,16767,CZ020
20,67,16606,CZ020
20,68,16831,CZ020
20,69,16180,CZ020
20,70,15874,CZ020
20,71,15404,CZ020
20,72,15296,CZ020
20,73,15530,CZ020
20,74,14641,CZ020
20,75,11547,CZ020
20,76,11348,CZ020
20,77,10475,CZ020
20,78,8625,CZ020
20,79,7564,CZ020
20,80,7146,CZ020
20,81,5912,CZ020
20,82,5487,CZ020
20,83,4763,CZ020
20,84,4323,CZ020
20,85,3973,CZ020
20,86,3628,CZ020
20,87,3168,CZ020
20,88,2874,CZ020
20,89,2361,CZ020
20,90,2003,CZ020
20,91,1453,CZ020
20,92,1140,CZ020
20,93,817,CZ020
20,94,624,CZ020
20,95,423,CZ020
20,96,293,CZ020
20,97,219,CZ020
20,98,133,CZ020
20,99,64,CZ020
20,100,113,CZ020
31,0,6558,CZ031
31,1,6655,CZ031
31,2,6782,CZ031
31,3,6916,CZ031
31,4,6774,CZ031
31,5,6715,CZ031
31,6,6590,CZ031
31,7,6526,CZ031
31,8,6744,CZ031
31,9,6465,CZ031
31,10,7144,CZ031
31,11,7330,CZ031
31,12,7445,CZ031
31,13,7234,CZ031
31,14,6612,CZ031
31,15,6307,CZ031
31,16,6132,CZ031
31,17,5890,CZ031
31,18,5962,CZ031
31,19,5770,CZ031
31,20,5755,CZ031
31,21,5788,CZ031
31,22,5766,CZ031
31,23,5873,CZ031
31,24,5812,CZ031
31,25,6304,CZ031
31,26,7068,CZ031
31,27,7788,CZ031
31,28,7838,CZ031
31,29,8268,CZ031
31,30,8280,CZ031
31,31,8092,CZ031
31,32,8287,CZ031
31,33,8170,CZ031
31,34,8159,CZ031
31,35,8224,CZ031
31,36,8556,CZ031
31,37,8428,CZ031
31,38,8583,CZ031
31,39,8757,CZ031
31,40,9284,CZ031
31,41,10273,CZ031
31,42,10599,CZ031
31,43,10716,CZ031
31,44,10978,CZ031
31,45,11113,CZ031
31,46,11338,CZ031
31,47,10754,CZ031
31,48,9697,CZ031
31,49,9091,CZ031
31,50,8954,CZ031
31,51,8505,CZ031
31,52,8136,CZ031
31,53,8024,CZ031
31,54,8165,CZ031
31,55,8388,CZ031
31,56,8759,CZ031
31,57,8578,CZ031
31,58,7687,CZ031
31,59,7563,CZ031
31,60,7475,CZ031
31,61,7478,CZ031
31,62,8039,CZ031
31,63,8677,CZ031
31,64,8914,CZ031
31,65,8781,CZ031
31,66,8726,CZ031
31,67,8467,CZ031
31,68,8336,CZ031
31,69,8412,CZ031
31,70,8018,CZ031
31,71,7552,CZ031
31,72,7694,CZ031
31,73,7918,CZ031
31,74,7408,CZ031
31,75,5657,CZ031
31,76,5501,CZ031
31,77,5256,CZ031
31,78,4578,CZ031
31,79,4078,CZ031
31,80,3825,CZ031
31,81,3222,CZ031
31,82,2855,CZ031
31,83,2608,CZ031
31,84,2437,CZ031
31,85,2209,CZ031
31,86,1947,CZ031
31,87,1764,CZ031
31,88,1545,CZ031
31,89,1339,CZ031
31,90,1058,CZ031
31,91,825,CZ031
31,92,616,CZ031
31,93,426,CZ031
31,94,310,CZ031
31,95,208,CZ031
31,96,158,CZ031
31,97,97,CZ031
31,98,78,CZ031
31,99,51,CZ031
31,100,59,CZ031
32,0,5892,CZ032
32,1,6089,CZ032
32,2,6165,CZ032
32,3,6188,CZ032
32,4,6081,CZ032
32,5,6013,CZ032
32,6,5895,CZ032
32,7,5730,CZ032
32,8,5997,CZ032
32,9,5820,CZ032
32,10,6525,CZ032
32,11,6703,CZ032
32,12,6681,CZ032
32,13,6439,CZ032
32,14,6082,CZ032
32,15,5671,CZ032
32,16,5265,CZ032
32,17,5157,CZ032
32,18,5195,CZ032
32,19,5122,CZ032
32,20,5221,CZ032
32,21,5051,CZ032
32,22,5162,CZ032
32,23,5153,CZ032
32,24,5403,CZ032
32,25,5792,CZ032
32,26,6506,CZ032
32,27,7122,CZ032
32,28,7035,CZ032
32,29,7672,CZ032
32,30,7765,CZ032
32,31,7910,CZ032
32,32,8008,CZ032
32,33,8029,CZ032
32,34,8119,CZ032
32,35,8326,CZ032
32,36,8344,CZ032
32,37,8401,CZ032
32,38,8537,CZ032
32,39,8381,CZ032
32,40,9027,CZ032
32,41,9499,CZ032
32,42,9905,CZ032
32,43,10114,CZ032
32,44,10426,CZ032
32,45,10700,CZ032
32,46,10860,CZ032
