code,obec,počet obyv.,prevalence,/100 tis.,12. 9. 23,13. 9. 23,14. 9. 23,15. 9. 23,16. 9. 23,17. 9. 23,18. 9. 23,19. 9. 23,20. 9. 23,21. 9. 23,22. 9. 23,23. 9. 23,24. 9. 23,25. 9. 23,26. 9. 23,incidence 7d,/100tis.,3.3.20,10.3.20,17.3.20,24.3.20,31.3.20,7.4.20,14.4.20,21.4.20,28.4.20,5.5.20,12.5.20,19.5.20,26.5.20,2.6.20,9.6.20,16.6.20,23.6.20,30.6.20,7.7.20,14.7.20,21.7.20,28.7.20,4.8.20,11.8.20,18.8.20,25.8.20,1.9.20,8.9.20,15.9.20,22.9.20,29.9.20,6.10.20,13.10.20,20.10.20,27.10.20,3.11.20,10.11.20,17.11.20,24.11.20,1.12.20,8.12.20,15.12.20,22.12.20,29.12.20,5.1.21,12.1.21,19.1.21,26.1.21,2.2.21,9.2.21,16.2.21,23.2.21,2.3.21,9.3.21,16.3.21,23.3.21,30.3.21,6.4.21,13.4.21,20.4.21,27.4.21,4.5.21,11.5.21,18.5.21,25.5.21,1.6.21,8.6.21,15.6.21,22.6.21,29.6.21,6.7.21,13.7.21,20.7.21,27.7.21,3.8.21,10.8.21,17.8.21,24.8.21,31.8.21,7.9.21,14.9.21,21.9.21,28.9.21,5.10.21,12.10.21,19.10.21,26.10.21,2.11.21,9.11.21,16.11.21,23.11.21,30.11.21,7.12.21,14.12.21,21.12.21,28.12.21,4.1.22,11.1.22,18.1.22,25.1.22,1.2.22,8.2.22,15.2.22,22.2.22,1.3.22,8.3.22,15.3.22,22.3.22,29.3.22,5.4.22,12.4.22,19.4.22,26.4.22,3.5.22,10.5.22,17.5.22,24.5.22,31.5.22,7.6.22,14.6.22,21.6.22,28.6.22,5.7.22,12.7.22,19.7.22,26.7.22,2.8.22,9.8.22,16.8.22,23.8.22,30.8.22,6.9.22,13.9.22,20.9.22,27.9.22,4.10.22,11.10.22,18.10.22,25.10.22,1.11.22,8.11.22,15.11.22,22.11.22,29.11.22,6.12.22,13.12.22,20.12.22,27.12.22,3.1.23,10.1.23,17.1.23,24.1.23,31.1.23,7.2.23,14.2.23,21.2.23,28.2.23,7.3.23,14.3.23,21.3.23,28.3.23,4.4.23,11.4.23,18.4.23,25.4.23,2.5.23,9.5.23,16.5.23,23.5.23,30.5.23,6.6.23,13.6.23,20.6.23,27.6.23,4.7.23,11.7.23,18.7.23,25.7.23,1.8.23,8.8.23,15.8.23,22.8.23,29.8.23,5.9.23,12.9.23,19.9.23,26.9.23
585068,Zlín,74935,311,415,391.0,392.3,397.7,397.7,395.0,392.3,401.7,408.4,411.0,412.4,416.4,415.0,411.0,411.0,415.0,15,20,0,0,2,5,4,6,11,0,2,0,4,1,6,1,0,0,0,0,1,0,1,11,5,10,3,5,16,13,63,85,80,198,338,663,809,622,444,263,222,202,247,352,501,601,827,673,417,276,230,228,191,261,290,299,300,264,306,234,239,178,255,163,101,81,43,18,12,7,17,7,1,6,12,6,6,2,6,8,5,7,5,8,12,28,44,62,207,446,645,916,1202,1115,1023,733,471,265,338,384,911,1792,2740,1821,1205,751,571,554,668,631,494,364,266,140,150,82,35,28,24,10,14,14,14,52,60,95,164,218,178,178,143,157,125,131,191,186,220,214,193,145,99,55,51,52,33,38,38,41,41,20,20,9,11,5,8,30,32,26,34,35,30,32,33,27,7,13,7,12,7,11,5,1,1,1,0,0,0,0,0,1,0,2,1,2,5,2,9,21,15
555088,Havířov,71200,400,562,533.7,535.1,532.3,533.7,529.5,528.1,532.3,539.3,543.5,549.2,547.8,547.8,547.8,553.4,561.8,21,30,0,0,2,6,6,11,7,0,0,3,3,24,42,19,22,13,59,201,99,61,52,30,12,8,3,5,2,14,19,42,45,125,203,221,366,333,399,296,203,204,196,290,437,446,570,653,364,243,180,196,197,217,264,305,256,274,313,203,217,151,137,124,98,57,38,15,20,10,11,1,4,3,10,6,5,5,7,4,10,14,21,23,35,47,85,198,321,366,476,624,890,1056,846,598,406,244,220,201,290,702,1868,1833,1251,766,516,413,333,328,365,271,179,94,113,92,29,19,12,6,12,6,10,20,28,42,95,153,134,165,152,156,117,119,160,157,145,150,155,101,66,36,28,20,26,34,61,53,59,32,26,26,12,12,6,7,20,17,29,35,34,27,20,15,13,16,10,2,4,4,1,1,1,0,0,0,4,0,0,1,1,0,1,0,0,2,9,10,21
532053,Kladno (KD),69337,269,388,370.7,373.5,380.7,377.9,373.5,372.1,379.3,380.7,383.6,382.2,382.2,380.7,373.5,382.2,388.0,18,26,0,0,2,13,9,10,2,1,1,1,5,0,0,0,1,11,0,0,0,1,2,9,10,9,7,8,25,66,99,90,65,137,210,329,434,365,315,182,232,220,212,246,329,395,552,420,298,297,323,411,368,579,783,665,716,512,367,202,202,136,92,58,46,38,13,4,2,6,13,16,16,15,6,5,4,6,4,12,10,6,13,14,7,27,38,80,151,228,311,519,606,691,622,496,320,262,224,315,706,1307,2020,1529,871,566,393,320,379,412,379,309,211,106,135,60,47,22,13,13,13,27,25,63,71,86,141,193,197,126,128,119,126,131,131,177,180,191,198,145,100,48,46,26,33,32,35,33,26,27,24,12,14,16,19,42,39,39,33,26,38,33,30,16,18,16,12,10,11,9,10,6,5,2,3,0,0,0,2,1,0,3,6,4,4,5,11,16,18
567027,Most,66034,350,530,513.4,517.9,522.5,522.5,524.0,522.5,525.5,533.1,534.6,533.1,533.1,528.5,524.0,527.0,530.0,8,12,0,0,0,1,3,2,4,2,5,5,1,1,0,1,0,1,0,0,0,0,2,7,3,3,4,1,7,9,18,24,40,70,120,226,539,560,380,237,232,201,242,193,249,277,389,350,274,234,184,193,202,456,537,569,717,577,454,280,284,184,156,127,90,55,33,28,7,5,4,1,1,1,4,1,0,1,6,3,1,3,1,2,9,27,29,86,119,221,274,369,468,715,659,502,414,225,298,241,592,1027,1933,1484,1032,640,454,304,340,386,321,242,168,81,67,55,32,10,10,9,6,4,13,28,29,33,58,109,138,84,85,103,102,111,132,154,194,125,135,109,58,43,28,24,13,17,15,17,11,9,5,3,4,3,8,9,26,31,27,26,31,12,21,16,12,5,8,0,0,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,16,8
505927,Opava,56450,242,429,425.2,428.7,430.5,425.2,425.2,425.2,426.9,430.5,432.2,425.2,423.4,421.6,418.1,423.4,428.7,8,14,0,0,0,7,4,11,23,22,7,0,1,4,0,0,0,1,0,0,1,0,0,1,3,1,10,5,7,13,20,52,56,74,212,363,446,435,404,254,249,179,198,269,429,437,583,663,395,346,270,218,311,402,377,314,324,211,197,128,110,70,69,76,73,53,40,20,7,6,4,4,1,5,4,1,3,0,5,1,7,3,35,56,49,49,75,117,151,245,402,557,748,721,647,415,346,188,197,211,373,875,1534,1466,1028,652,346,302,373,369,275,186,129,67,70,46,20,19,9,8,10,5,12,15,22,27,49,75,117,110,123,75,83,88,88,124,124,109,99,82,47,22,26,11,18,23,36,33,38,27,21,9,7,9,6,11,12,9,13,23,26,22,20,15,13,9,5,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,8,8,8
598003,Frýdek-Místek,55557,288,518,495.0,500.4,505.8,505.8,505.8,504.0,504.0,507.6,511.2,518.4,514.8,507.6,504.0,511.2,518.4,19,34,0,0,9,26,12,25,14,18,6,12,7,3,5,2,3,3,8,21,17,18,27,23,4,15,6,2,9,12,14,37,33,55,122,218,340,391,287,197,182,149,166,188,385,336,510,458,250,218,204,160,175,234,322,329,294,287,271,175,179,101,74,111,74,46,40,36,20,4,4,2,4,4,7,3,6,3,3,5,2,24,36,37,41,52,46,86,171,316,394,549,629,787,681,515,301,159,157,212,430,863,1676,1545,934,583,378,286,275,216,235,187,123,92,66,54,28,23,10,11,14,11,14,29,32,69,113,128,135,154,158,133,97,99,109,104,159,139,116,73,60,24,29,18,28,26,32,42,46,22,35,9,16,11,13,15,15,29,19,32,35,23,33,19,20,16,11,1,4,1,0,5,1,1,1,2,0,0,0,1,0,0,0,3,0,4,8,12,19
598917,Karviná,52128,382,733,704.0,707.9,707.9,711.7,711.7,711.7,719.4,725.1,730.9,729.0,729.0,727.1,725.1,729.0,732.8,11,21,0,0,0,2,8,12,2,0,0,5,2,27,66,21,49,26,69,256,75,41,45,30,6,7,6,19,12,13,12,31,21,60,131,167,286,347,442,342,258,172,241,260,364,265,416,465,374,241,188,222,185,266,258,258,312,279,236,170,174,90,64,70,55,43,23,20,6,6,2,0,1,1,3,2,1,1,3,4,2,3,10,11,10,18,37,68,130,201,355,581,799,856,536,430,258,122,125,127,203,382,947,1134,884,538,362,285,249,213,192,155,116,41,50,42,11,8,4,5,4,6,8,13,8,23,47,81,66,64,54,61,55,31,54,66,66,75,51,47,24,17,14,19,11,21,22,33,16,13,14,13,9,7,6,6,7,14,25,21,18,16,14,12,7,5,7,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5,13,11
586846,Jihlava,51216,235,459,447.1,449.1,449.1,451.0,451.0,451.0,458.8,462.7,462.7,462.7,462.7,458.8,453.0,456.9,458.8,7,14,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,8,2,56,7,5,9,24,15,24,43,57,88,147,232,303,352,437,498,267,187,92,127,191,312,309,442,331,242,165,148,130,111,154,254,360,339,316,249,196,165,134,94,92,52,32,28,20,11,8,2,2,1,0,2,3,7,12,8,5,7,4,9,10,8,21,23,51,203,284,306,444,630,720,730,516,296,184,168,115,273,571,1251,1478,955,638,441,492,489,445,399,264,126,52,65,43,23,14,5,6,6,7,8,25,29,50,89,78,83,73,70,68,91,69,116,155,128,131,106,60,52,29,21,19,21,24,24,31,16,14,19,26,5,11,5,8,18,12,15,14,19,24,26,14,9,7,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,4,11,7
567442,Teplice,49731,217,436,432.3,432.3,430.3,434.3,434.3,432.3,432.3,436.3,438.4,436.3,436.3,436.3,438.4,434.3,436.3,4,8,0,0,0,1,7,9,7,0,1,0,0,1,1,3,2,0,0,0,1,0,0,4,1,1,4,4,12,11,18,28,58,58,138,191,289,327,266,170,152,113,158,169,233,257,310,242,132,128,134,193,256,301,389,395,462,318,242,154,175,144,125,94,84,36,17,19,7,3,10,1,1,8,9,1,3,4,4,4,4,12,29,41,13,22,13,24,48,96,218,272,509,708,542,414,382,223,189,175,446,1013,1395,915,577,470,403,420,343,346,271,202,124,49,61,32,16,6,13,9,5,13,8,30,35,52,88,101,95,85,108,82,60,71,118,125,191,176,145,95,93,41,30,15,15,22,17,26,17,6,4,11,4,6,4,11,12,36,27,38,36,25,42,22,11,5,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,5,4
562971,Chomutov,48635,252,518,483.2,493.5,493.5,499.6,499.6,491.4,493.5,495.5,495.5,497.6,505.8,497.6,495.5,503.8,518.1,24,49,0,0,0,3,6,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,3,10,2,4,9,5,12,28,54,94,158,356,533,404,276,148,95,102,105,121,129,135,169,191,141,121,126,185,149,271,306,343,327,308,293,176,112,87,65,91,60,38,18,16,8,0,1,2,3,2,6,11,10,7,1,0,6,6,6,11,10,11,11,13,54,69,151,337,469,436,424,318,312,197,206,224,571,987,1634,1163,906,559,352,310,383,360,327,208,155,98,79,47,28,11,13,4,5,6,8,23,21,49,84,122,103,105,98,97,74,87,135,177,176,200,149,114,81,56,51,39,27,39,33,41,36,17,29,5,7,8,14,17,35,65,60,46,62,64,31,24,8,7,5,1,2,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,1,7,13,24
