kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 68,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,12.10.23,19.10.23,26.10.23,2.11.23,9.11.23,16.11.23,23.11.23,30.11.23,7.12.23,14.12.23,21.12.23,28.12.23,4.1.24,11.1.24,18.1.24,25.1.24,1.2.24,8.2.24,15.2.24,22.2.24,29.2.24,7.3.24,14.3.24,21.3.24,28.3.24,4.4.24,11.4.24,18.4.24,25.4.24,2.5.24,9.5.24,16.5.24,23.5.24,30.5.24,6.6.24,13.6.24,20.6.24,27.6.24,4.7.24,11.7.24,18.7.24,25.7.24,1.8.24,8.8.24,15.8.24,22.8.24,29.8.24,5.9.24,12.9.24,19.9.24,26.9.24,3.10.24,4.10.24,5.10.24,6.10.24,7.10.24,8.10.24,9.10.24,10.10.24
5103,Jablonec nad Nisou,51,57541,10. 10. 2024,3. 10. 2024,"59,1","59,1","45,2","13,9",18,29,13,21,32,29,34,44,68,90,100,31,29,29,10,11,3,8,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,2,3,0,3,23,18,29,50,"19,1","31,3","13,9","22,6","34,8","31,3","36,5","46,9","73,0","97,3","107,7","33,0","31,3","31,3","10,4","12,2","3,5","8,7","1,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,5","0,0","0,0","0,0","0,0","1,7","0,0","0,0","0,0","0,0","0,0","1,7","0,0","0,0","1,7","3,5","0,0","3,5","24,3","19,1","31,3","53,9","45,2","41,7","41,7","41,7","46,9","48,7","59,1","59,1"
5104,Jilemnice,51,22078,10. 10. 2024,3. 10. 2024,"108,7","108,7","49,8","58,9",10,23,26,19,32,61,45,35,74,81,100,6,23,19,13,3,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,16,3,16,10,23,32,"13,6","31,7","36,2","27,2","45,3","86,1","63,4","49,8","104,2","113,2","140,4","9,1","31,7","27,2","18,1","4,5","9,1","9,1","4,5","0,0","4,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,5","0,0","0,0","0,0","9,1","4,5","22,6","4,5","22,6","13,6","31,7","45,3","49,8","67,9","67,9","67,9","86,1","86,1","90,6","108,7"
5105,Liberec,51,149554,10. 10. 2024,3. 10. 2024,"66,9","66,9","64,9","2,0",12,20,17,20,15,21,36,58,74,100,91,37,33,19,13,5,3,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3,1,1,5,3,6,5,4,9,19,19,30,30,"19,4","31,4","26,1","31,4","22,7","32,1","56,2","90,3","115,7","156,5","142,4","57,5","52,2","29,4","20,1","8,0","5,3","10,0","2,7","3,3","1,3","1,3","0,7","0,7","0,0","0,0","0,7","0,0","0,7","0,7","2,0","0,0","0,0","0,7","0,0","0,0","4,7","2,7","4,0","1,3","2,0","7,4","4,7","10,0","7,4","6,7","14,0","30,1","30,1","47,5","46,8","64,9","78,9","77,6","77,6","78,9","77,6","70,9","66,9"
5106,Nový Bor,51,26349,10. 10. 2024,3. 10. 2024,"87,3","87,3","34,2","53,1",11,19,11,19,25,25,56,86,78,100,61,42,39,42,11,3,6,6,14,0,3,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,6,3,0,6,11,11,14,8,8,8,14,22,25,67,"15,2","26,6","15,2","26,6","34,2","34,2","75,9","117,7","106,3","136,6","83,5","56,9","53,1","56,9","15,2","3,8","7,6","7,6","19,0","0,0","3,8","3,8","0,0","0,0","0,0","3,8","0,0","0,0","0,0","0,0","0,0","3,8","0,0","3,8","0,0","0,0","0,0","7,6","3,8","0,0","7,6","15,2","15,2","19,0","11,4","11,4","11,4","19,0","30,4","34,2","91,1","34,2","30,4","30,4","30,4","22,8","34,2","45,5","87,3"
5107,Semily,51,25605,10. 10. 2024,3. 10. 2024,"82,0","82,0","128,9","-46,9",21,21,45,31,28,52,31,97,69,100,86,41,38,28,21,10,3,17,7,3,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,17,17,21,28,69,"23,4","23,4","50,8","35,1","31,2","58,6","35,1","109,4","78,1","113,3","97,6","46,9","43,0","31,2","23,4","11,7","3,9","19,5","7,8","3,9","0,0","7,8","3,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","3,9","3,9","3,9","7,8","19,5","19,5","23,4","31,2","78,1","128,9","140,6","136,7","136,7","144,5","121,1","78,1","82,0"
5108,Tanvald,51,20542,10. 10. 2024,3. 10. 2024,"43,8","43,8","87,6","-43,8",21,25,29,25,36,11,46,57,54,71,100,14,18,11,7,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,4,4,7,21,7,36,46,"29,2","34,1","38,9","34,1","48,7","14,6","63,3","77,9","73,0","97,4","136,3","19,5","24,3","14,6","9,7","0,0","4,9","9,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,9","0,0","0,0","0,0","4,9","0,0","4,9","0,0","0,0","4,9","4,9","9,7","29,2","9,7","48,7","63,3","87,6","77,9","77,9","77,9","58,4","34,1","34,1","43,8"
5109,Turnov,51,33505,10. 10. 2024,3. 10. 2024,"41,8","41,8","47,8","-6,0",4,14,14,14,12,16,24,40,58,98,100,30,12,10,2,2,0,8,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,4,2,0,8,2,6,8,12,22,42,"6,0","20,9","20,9","20,9","17,9","23,9","35,8","59,7","86,6","146,2","149,2","44,8","17,9","14,9","3,0","3,0","0,0","11,9","0,0","3,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","3,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","3,0","0,0","11,9","3,0","9,0","11,9","17,9","32,8","62,7","47,8","59,7","59,7","62,7","44,8","47,8","50,7","41,8"
5110,Železný Brod,51,12326,10. 10. 2024,3. 10. 2024,"64,9","64,9","97,4","-32,5",6,25,19,12,12,6,25,19,31,50,69,38,56,12,19,19,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,6,12,12,12,19,25,38,25,100,"8,1","32,5","24,3","16,2","16,2","8,1","32,5","24,3","40,6","64,9","89,2","48,7","73,0","16,2","24,3","24,3","0,0","8,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,1","8,1","0,0","0,0","8,1","16,2","16,2","16,2","24,3","32,5","48,7","32,5","129,8","97,4","105,5","105,5","105,5","121,7","89,2","73,0","64,9"
5201,Broumov,52,15665,10. 10. 2024,3. 10. 2024,"63,8","63,8","89,4","-25,5",24,24,51,49,57,51,59,84,81,100,51,41,30,24,14,16,35,8,14,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,5,11,8,14,22,19,"57,5","57,5","121,3","114,9","134,1","121,3","140,4","197,9","191,5","236,2","121,3","95,8","70,2","57,5","31,9","38,3","83,0","19,2","31,9","12,8","0,0","12,8","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,4","0,0","0,0","0,0","0,0","6,4","25,5","12,8","25,5","19,2","31,9","51,1","44,7","89,4","70,2","70,2","70,2","63,8","44,7","38,3","63,8"
5202,Dobruška,52,20217,10. 10. 2024,3. 10. 2024,"54,4","54,4","64,3","-9,9",8,8,32,12,32,60,60,64,68,100,56,40,20,52,20,8,12,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,12,8,16,20,8,32,12,"9,9","9,9","39,6","14,8","39,6","74,2","74,2","79,1","84,1","123,7","69,2","49,5","24,7","64,3","24,7","9,9","14,8","24,7","19,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,9","4,9","9,9","14,8","9,9","19,8","24,7","9,9","39,6","14,8","64,3","64,3","64,3","64,3","74,2","79,1","54,4","54,4"
5203,Dvůr Králové nad Labem,52,27118,10. 10. 2024,3. 10. 2024,"88,5","88,5","132,8","-44,3",24,24,13,31,26,39,37,44,80,96,100,30,30,11,7,1,9,1,3,3,0,3,1,0,0,1,0,1,0,0,0,6,0,0,0,1,0,1,1,1,3,1,4,9,6,7,19,13,13,19,43,"62,7","62,7","33,2","81,1","66,4","99,6","95,9","114,3","206,5","247,1","258,1","77,4","77,4","29,5","18,4","3,7","22,1","3,7","7,4","7,4","0,0","7,4","3,7","0,0","0,0","3,7","0,0","3,7","0,0","0,0","0,0","14,8","0,0","0,0","0,0","3,7","0,0","3,7","3,7","3,7","7,4","3,7","11,1","22,1","14,8","18,4","47,9","33,2","33,2","47,9","110,6","132,8","143,8","140,1","140,1","99,6","73,8","84,8","88,5"
5204,Hořice,52,18536,10. 10. 2024,3. 10. 2024,"80,9","80,9","91,7","-10,8",8,21,21,11,29,37,32,42,58,100,53,29,29,11,5,8,3,8,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,3,5,8,26,26,"16,2","43,2","43,2","21,6","59,3","75,5","64,7","86,3","118,7","205,0","107,9","59,3","59,3","21,6","10,8","16,2","5,4","16,2","0,0","0,0","5,4","0,0","0,0","0,0","0,0","5,4","0,0","0,0","10,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","10,8","0,0","5,4","5,4","10,8","16,2","53,9","53,9","91,7","91,7","91,7","91,7","113,3","102,5","70,1","80,9"
5205,Hradec Králové,52,148986,10. 10. 2024,3. 10. 2024,"102,0","102,0","73,8","28,2",17,22,25,35,32,37,43,68,90,100,80,27,29,20,8,11,4,6,3,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,2,2,1,3,1,6,8,11,16,15,19,23,44,"31,5","40,3","47,7","66,4","59,1","68,5","80,5","127,5","168,5","187,3","149,7","51,0","53,7","36,9","14,8","20,1","7,4","10,7","4,7","2,7","0,0","3,4","0,0","1,3","0,7","0,0","0,7","1,3","0,7","0,7","1,3","0,7","0,0","2,0","1,3","2,7","1,3","0,7","3,4","4,0","2,7","4,7","2,7","10,7","14,1","21,5","30,9","28,9","34,9","43,6","81,9","73,8","73,8","74,5","75,8","88,6","91,3","96,0","102,0"
5206,Jaroměř,52,19658,10. 10. 2024,3. 10. 2024,"20,3","20,3","35,6","-15,3",22,22,39,50,44,72,39,67,94,100,72,33,22,6,6,0,0,11,6,11,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,11,0,6,6,17,28,17,33,22,"20,3","20,3","35,6","45,8","40,7","66,1","35,6","61,0","86,5","91,6","66,1","30,5","20,3","5,1","5,1","0,0","0,0","10,2","5,1","10,2","0,0","0,0","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","0,0","0,0","0,0","5,1","0,0","0,0","0,0","0,0","5,1","0,0","10,2","0,0","5,1","5,1","15,3","25,4","15,3","30,5","20,3","35,6","20,3","20,3","15,3","25,4","25,4","25,4","20,3"
5207,Jičín,52,48653,10. 10. 2024,3. 10. 2024,"131,5","131,5","141,8","-10,3",16,11,18,31,32,24,59,61,94,100,66,38,26,20,19,10,10,3,3,3,1,1,1,2,1,0,0,3,0,1,1,1,1,1,1,0,1,1,1,1,2,2,2,3,7,8,19,22,17,46,60,"28,8","20,6","32,9","57,6","59,6","45,2","108,9","113,0","174,7","185,0","121,3","69,9","47,3","37,0","34,9","18,5","18,5","6,2","6,2","6,2","2,1","2,1","2,1","4,1","2,1","0,0","0,0","6,2","0,0","2,1","2,1","2,1","2,1","2,1","2,1","0,0","2,1","2,1","2,1","2,1","4,1","4,1","4,1","6,2","12,3","14,4","34,9","41,1","30,8","84,3","111,0","141,8","143,9","145,9","156,2","162,4","164,4","131,5","131,5"
5208,Kostelec nad Orlicí,52,25176,10. 10. 2024,3. 10. 2024,"75,5","75,5","63,6","11,9",22,41,30,54,38,49,30,59,95,100,89,35,46,30,3,8,14,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,3,3,8,24,24,32,35,46,"31,8","59,6","43,7","79,4","55,6","71,5","43,7","87,4","139,0","147,0","131,1","51,6","67,5","43,7","4,0","11,9","19,9","4,0","4,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,9","0,0","0,0","0,0","11,9","4,0","4,0","11,9","35,7","35,7","47,7","51,6","67,5","63,6","79,4","75,5","71,5","67,5","67,5","67,5","75,5"
5209,Náchod,52,60788,10. 10. 2024,3. 10. 2024,"60,9","60,9","28,0","32,9",16,32,34,22,38,44,44,78,63,100,89,28,33,16,6,7,7,1,4,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,2,2,2,4,16,15,17,12,20,32,"21,4","42,8","46,1","29,6","51,0","59,2","59,2","105,3","85,5","134,9","120,1","37,8","44,4","21,4","8,2","9,9","9,9","1,6","4,9","1,6","1,6","4,9","0,0","0,0","0,0","0,0","0,0","0,0","1,6","0,0","0,0","0,0","0,0","0,0","0,0","1,6","1,6","0,0","3,3","0,0","0,0","3,3","3,3","3,3","4,9","21,4","19,7","23,0","16,5","26,3","42,8","28,0","29,6","32,9","34,5","42,8","47,7","52,6","60,9"
5210,Nová Paka,52,13389,10. 10. 2024,3. 10. 2024,"104,6","104,6","97,1","7,5",14,9,9,11,23,11,36,68,80,100,77,34,9,14,20,18,7,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,5,2,7,5,0,0,0,0,16,14,18,27,"44,8","29,9","29,9","37,3","74,7","37,3","119,5","224,1","261,4","328,6","253,9","112,0","29,9","44,8","67,2","59,8","22,4","44,8","0,0","7,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,5","7,5","7,5","0,0","0,0","0,0","7,5","0,0","14,9","7,5","22,4","14,9","0,0","0,0","0,0","0,0","52,3","44,8","59,8","89,6","97,1","97,1","97,1","97,1","112,0","104,6","97,1","104,6"
5211,Nové Město nad Metují,52,14211,10. 10. 2024,3. 10. 2024,"84,4","84,4","49,3","35,2",31,9,19,19,28,31,28,38,59,100,59,34,47,16,6,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,6,19,22,12,16,6,"70,4","21,1","42,2","42,2","63,3","70,4","63,3","84,4","133,7","225,2","133,7","77,4","105,6","35,2","14,1","0,0","0,0","21,1","0,0","0,0","0,0","0,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","7,0","7,0","0,0","14,1","14,1","42,2","49,3","28,1","35,2","14,1","49,3","49,3","49,3","49,3","63,3","56,3","56,3","84,4"
5212,Nový Bydžov,52,18003,10. 10. 2024,3. 10. 2024,"55,5","55,5","33,3","22,2",21,34,24,28,28,38,38,45,69,100,59,52,31,17,10,7,0,0,7,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,10,3,0,7,10,10,17,14,17,45,14,"33,3","55,5","38,9","44,4","44,4","61,1","61,1","72,2","111,1","161,1","94,4","83,3","50,0","27,8","16,7","11,1","0,0","0,0","11,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,6","11,1","5,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,7","5,6","0,0","11,1","16,7","16,7","27,8","22,2","27,8","72,2","22,2","33,3","38,9","38,9","38,9","27,8","33,3","33,3","55,5"
5213,Rychnov nad Kněžnou,52,34793,10. 10. 2024,3. 10. 2024,"123,6","123,6","80,5","43,1",13,21,38,53,81,45,85,68,98,100,98,49,43,23,13,9,2,2,9,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,6,4,2,0,9,2,6,6,23,11,23,30,21,38,45,"17,2","28,7","51,7","71,9","109,2","60,4","115,0","92,0","132,2","135,1","132,2","66,1","57,5","31,6","17,2","11,5","2,9","2,9","11,5","2,9","2,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,9","0,0","0,0","2,9","2,9","8,6","5,7","2,9","0,0","11,5","2,9","8,6","8,6","31,6","14,4","31,6","40,2","28,7","51,7","60,4","80,5","100,6","97,7","97,7","103,5","115,0","132,2","123,6"
5214,Trutnov,52,62699,10. 10. 2024,3. 10. 2024,"70,2","70,2","57,4","12,8",14,15,31,42,62,66,58,77,92,100,88,37,43,22,9,17,6,5,3,6,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,3,6,23,26,14,37,"14,4","15,9","31,9","43,1","63,8","68,6","60,6","79,7","95,7","103,7","90,9","38,3","44,7","22,3","9,6","17,5","6,4","4,8","3,2","6,4","0,0","3,2","3,2","0,0","1,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,4","9,6","8,0","3,2","6,4","23,9","27,1","14,4","38,3","57,4","57,4","55,8","55,8","62,2","78,2","73,4","70,2"
5215,Vrchlabí,52,27375,10. 10. 2024,3. 10. 2024,"62,1","62,1","62,1","0,0",11,11,35,22,22,51,32,76,43,100,92,14,27,11,8,3,5,3,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,5,11,14,16,16,38,"14,6","14,6","47,5","29,2","29,2","69,4","43,8","102,3","58,4","135,2","124,2","18,3","36,5","14,6","11,0","3,7","7,3","3,7","7,3","0,0","0,0","0,0","0,0","0,0","3,7","3,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,7","0,0","0,0","0,0","3,7","0,0","0,0","0,0","3,7","0,0","7,3","14,6","18,3","21,9","21,9","51,1","62,1","54,8","54,8","54,8","73,1","65,8","62,1","62,1"
5301,Česká Třebová,53,17834,10. 10. 2024,3. 10. 2024,"78,5","78,5","67,3","11,2",22,22,48,65,57,74,83,61,74,100,61,30,17,17,17,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,30,65,35,"28,0","28,0","61,7","84,1","72,9","95,3","106,5","78,5","95,3","129,0","78,5","39,3","22,4","22,4","22,4","16,8","16,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,6","0,0","0,0","11,2","39,3","84,1","44,9","67,3","78,5","67,3","67,3","84,1","84,1","84,1","78,5"
5302,Hlinsko,53,21127,10. 10. 2024,3. 10. 2024,"47,3","47,3","33,1","14,2",73,31,31,65,42,69,77,65,73,100,96,15,35,31,31,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,8,19,27,35,"89,9","37,9","37,9","80,5","52,1","85,2","94,7","80,5","89,9","123,1","118,3","18,9","42,6","37,9","37,9","4,7","4,7","9,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,7","0,0","14,2","4,7","9,5","23,7","33,1","42,6","33,1","28,4","28,4","33,1","37,9","28,4","37,9","47,3"
5303,Holice,53,18656,10. 10. 2024,3. 10. 2024,"107,2","107,2","193,0","-85,8",16,31,38,29,32,29,40,29,59,100,78,25,16,22,13,6,10,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,1,3,1,12,4,12,13,6,21,38,"59,0","112,6","139,4","107,2","117,9","107,2","144,7","107,2","214,4","364,5","284,1","91,1","59,0","80,4","48,2","21,4","37,5","5,4","10,7","0,0","0,0","0,0","5,4","0,0","5,4","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,1","5,4","0,0","5,4","0,0","5,4","10,7","5,4","42,9","16,1","42,9","48,2","21,4","75,0","139,4","193,0","182,2","182,2","182,2","166,2","150,1","134,0","107,2"
5304,Chrudim,53,85271,10. 10. 2024,3. 10. 2024,"59,8","59,8","76,2","-16,4",16,25,38,52,42,48,42,55,56,100,84,31,30,24,11,6,4,4,3,1,2,0,1,0,0,5,1,3,0,2,0,0,0,0,0,1,2,1,0,0,0,1,1,5,3,7,12,11,18,36,55,"28,1","43,4","66,8","91,5","73,9","84,4","73,9","97,3","98,5","177,1","148,9","55,1","52,8","42,2","18,8","10,6","7,0","7,0","4,7","2,3","3,5","0,0","1,2","0,0","0,0","8,2","2,3","5,9","0,0","3,5","0,0","0,0","0,0","0,0","0,0","1,2","3,5","2,3","0,0","0,0","0,0","1,2","2,3","8,2","4,7","11,7","21,1","18,8","31,7","63,3","97,3","76,2","70,4","70,4","70,4","65,7","59,8","57,5","59,8"
5305,Králíky,53,8557,10. 10. 2024,3. 10. 2024,"35,1","35,1","35,1","0,0",18,9,18,27,91,73,100,73,55,45,73,36,9,27,36,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,9,27,"23,4","11,7","23,4","35,1","116,9","93,5","128,5","93,5","70,1","58,4","93,5","46,7","11,7","35,1","46,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,7","11,7","23,4","11,7","35,1","35,1","35,1","35,1","35,1","46,7","58,4","58,4","35,1"
5306,Lanškroun,53,23082,10. 10. 2024,3. 10. 2024,"56,3","56,3","112,6","-56,3",9,15,17,26,45,21,40,96,66,100,79,32,15,19,11,11,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,2,0,6,9,9,17,34,34,"17,3","30,3","34,7","52,0","91,0","43,3","82,3","195,0","134,3","203,6","160,3","65,0","30,3","39,0","21,7","21,7","4,3","13,0","8,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,3","8,7","4,3","0,0","0,0","0,0","4,3","0,0","13,0","17,3","17,3","34,7","69,3","69,3","112,6","95,3","95,3","95,3","99,6","95,3","65,0","56,3"
5307,Litomyšl,53,27691,10. 10. 2024,3. 10. 2024,"122,8","122,8","108,3","14,4",9,33,37,24,50,50,57,65,65,100,78,41,24,15,11,11,7,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,7,2,4,0,4,11,15,7,13,52,30,"14,4","54,2","61,4","39,7","83,1","83,1","93,9","108,3","108,3","166,1","130,0","68,6","39,7","25,3","18,1","18,1","10,8","7,2","7,2","0,0","3,6","3,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6","7,2","0,0","0,0","0,0","0,0","10,8","3,6","7,2","0,0","7,2","18,1","25,3","10,8","21,7","86,7","50,6","108,3","133,6","133,6","130,0","148,1","137,2","126,4","122,8"
5308,Moravská Třebová,53,25961,10. 10. 2024,3. 10. 2024,"115,6","115,6","134,8","-19,3",17,17,18,28,34,27,70,68,100,76,56,17,23,18,14,8,14,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,6,11,20,35,"46,2","46,2","50,1","77,0","92,4","73,2","192,6","184,9","273,5","208,0","154,1","46,2","61,6","50,1","38,5","23,1","38,5","23,1","11,6","3,9","3,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","0,0","3,9","3,9","11,6","15,4","30,8","53,9","96,3","134,8","134,8","138,7","138,7","138,7","134,8","115,6","115,6"
5309,Pardubice,53,134359,10. 10. 2024,3. 10. 2024,"70,0","70,0","58,1","11,9",18,29,41,44,46,44,41,48,73,100,82,33,23,13,8,7,4,4,1,1,3,0,2,0,1,1,0,0,0,0,2,0,0,1,0,1,1,1,1,2,3,4,3,3,5,8,14,19,18,28,44,"28,3","44,7","63,3","67,7","72,2","69,2","63,3","75,2","113,1","155,6","128,0","51,4","36,5","20,1","11,9","10,4","6,7","6,0","2,2","2,2","5,2","0,0","3,7","0,7","1,5","1,5","0,0","0,0","0,0","0,7","3,0","0,0","0,7","2,2","0,0","2,2","1,5","1,5","1,5","3,0","4,5","6,7","5,2","5,2","8,2","12,7","22,3","29,8","27,5","43,9","67,7","58,1","55,1","55,8","55,1","68,5","68,5","72,9","70,0"
5310,Polička,53,19904,10. 10. 2024,3. 10. 2024,"236,1","236,1","180,9","55,3",8,41,25,41,51,33,47,54,92,100,61,33,32,17,8,11,3,1,1,1,1,0,0,0,0,0,0,3,0,0,0,1,3,0,1,1,0,0,0,0,1,4,8,8,12,9,11,18,26,22,47,"30,1","155,7","95,5","155,7","195,9","125,6","180,9","206,0","351,7","381,8","231,1","125,6","120,6","65,3","30,1","40,2","10,0","5,0","5,0","5,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","0,0","0,0","0,0","5,0","10,0","0,0","5,0","5,0","0,0","0,0","0,0","0,0","5,0","15,1","30,1","30,1","45,2","35,2","40,2","70,3","100,5","85,4","180,9","180,9","155,7","155,7","150,7","175,8","201,0","216,0","236,1"
5311,Přelouč,53,26522,10. 10. 2024,3. 10. 2024,"26,4","26,4","33,9","-7,5",14,31,21,28,34,45,34,31,59,66,100,41,17,10,7,7,7,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,3,17,14,21,0,28,7,41,"15,1","33,9","22,6","30,2","37,7","49,0","37,7","33,9","64,1","71,6","109,3","45,2","18,9","11,3","7,5","7,5","7,5","3,8","3,8","3,8","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,8","0,0","0,0","3,8","0,0","0,0","0,0","0,0","7,5","0,0","0,0","0,0","3,8","18,9","15,1","22,6","0,0","30,2","7,5","45,2","33,9","30,2","30,2","30,2","30,2","33,9","33,9","26,4"
