kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 68,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,12.10.23,19.10.23,26.10.23,2.11.23,9.11.23,16.11.23,23.11.23,30.11.23,7.12.23,14.12.23,21.12.23,28.12.23,4.1.24,11.1.24,18.1.24,25.1.24,1.2.24,8.2.24,15.2.24,22.2.24,29.2.24,7.3.24,14.3.24,21.3.24,28.3.24,4.4.24,11.4.24,18.4.24,25.4.24,2.5.24,9.5.24,16.5.24,23.5.24,30.5.24,6.6.24,13.6.24,20.6.24,27.6.24,4.7.24,11.7.24,18.7.24,25.7.24,1.8.24,8.8.24,15.8.24,22.8.24,29.8.24,5.9.24,12.9.24,19.9.24,26.9.24,3.10.24,4.10.24,5.10.24,6.10.24,7.10.24,8.10.24,9.10.24,10.10.24
4201,Bílina,42,19626,10. 10. 2024,3. 10. 2024,"20,4","20,4","5,1","15,3",0,0,0,31,46,100,31,54,85,77,77,46,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,8,0,15,"0,0","0,0","0,0","20,4","30,6","66,2","20,4","35,7","56,0","51,0","51,0","30,6","15,3","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,2","0,0","0,0","0,0","5,1","5,1","0,0","10,2","5,1","10,2","10,2","10,2","15,3","25,5","25,5","20,4"
4202,Děčín,42,75342,10. 10. 2024,3. 10. 2024,"47,8","47,8","62,4","-14,6",23,18,14,33,53,60,42,64,71,100,72,23,37,22,12,5,5,4,6,2,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,1,5,6,2,2,7,6,6,20,22,39,40,"25,2","19,9","15,9","35,8","58,4","66,4","46,5","70,3","78,3","110,2","79,6","25,2","41,1","23,9","13,3","5,3","5,3","4,0","6,6","2,7","1,3","0,0","0,0","0,0","0,0","2,7","0,0","0,0","0,0","0,0","0,0","0,0","1,3","2,7","0,0","1,3","0,0","1,3","0,0","1,3","5,3","6,6","2,7","2,7","8,0","6,6","6,6","22,6","23,9","42,5","43,8","62,4","65,0","67,7","67,7","63,7","51,8","55,7","47,8"
4203,Chomutov,42,80665,10. 10. 2024,3. 10. 2024,"116,5","116,5","97,9","18,6",23,13,23,39,39,52,52,64,75,100,87,38,23,15,8,7,5,3,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,3,1,5,7,5,7,9,15,37,32,48,"43,4","24,8","42,1","71,9","71,9","95,5","95,5","119,0","138,8","184,7","161,2","69,4","43,4","28,5","14,9","13,6","9,9","5,0","0,0","2,5","1,2","0,0","1,2","1,2","2,5","1,2","0,0","0,0","1,2","0,0","1,2","0,0","0,0","1,2","0,0","1,2","1,2","1,2","2,5","2,5","5,0","2,5","8,7","13,6","8,7","12,4","17,4","27,3","68,2","58,3","88,0","97,9","109,1","104,1","105,4","101,7","109,1","114,1","116,5"
4204,Kadaň,42,43370,10. 10. 2024,3. 10. 2024,"53,0","53,0","53,0","0,0",6,6,15,14,18,32,32,93,89,100,67,28,29,17,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,1,3,3,4,3,3,6,17,24,31,"9,2","9,2","25,4","23,1","30,0","53,0","53,0","154,5","147,6","166,0","110,7","46,1","48,4","27,7","6,9","6,9","6,9","6,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,3","2,3","0,0","2,3","0,0","4,6","2,3","2,3","4,6","4,6","6,9","4,6","4,6","9,2","27,7","39,2","50,7","53,0","50,7","50,7","50,7","55,3","64,6","53,0","53,0"
4205,Litoměřice,42,58580,10. 10. 2024,3. 10. 2024,"52,9","52,9","44,4","8,5",21,20,35,34,27,40,45,48,78,100,74,30,30,15,9,2,5,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,5,1,4,6,9,10,4,6,21,27,34,"29,0","27,3","49,5","47,8","37,6","56,3","63,2","66,6","109,3","140,0","104,1","42,7","42,7","20,5","11,9","3,4","6,8","1,7","0,0","1,7","0,0","3,4","0,0","0,0","0,0","0,0","1,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7","0,0","5,1","0,0","0,0","6,8","1,7","5,1","8,5","11,9","13,7","5,1","8,5","29,0","37,6","47,8","44,4","46,1","44,4","44,4","44,4","46,1","54,6","52,9"
4206,Litvínov,42,35946,10. 10. 2024,3. 10. 2024,"25,0","25,0","16,7","8,3",37,10,10,27,7,37,50,63,90,100,70,23,13,10,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,3,7,7,13,33,"30,6","8,3","8,3","22,3","5,6","30,6","41,7","52,9","75,1","83,5","58,4","19,5","11,1","8,3","5,6","2,8","0,0","0,0","0,0","0,0","0,0","2,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,8","0,0","0,0","0,0","2,8","0,0","2,8","2,8","2,8","5,6","5,6","11,1","27,8","16,7","16,7","19,5","19,5","13,9","11,1","19,5","25,0"
4207,Louny,42,43556,10. 10. 2024,3. 10. 2024,"18,4","18,4","16,1","2,3",18,6,35,37,27,22,37,57,67,100,82,24,10,6,2,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,4,0,2,6,4,4,10,16,"20,7","6,9","39,0","41,3","29,8","25,3","41,3","64,3","75,8","112,5","91,8","27,6","11,5","6,9","2,3","6,9","4,6","2,3","2,3","2,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,3","0,0","0,0","0,0","2,3","2,3","4,6","0,0","2,3","6,9","4,6","4,6","11,5","18,4","16,1","20,7","20,7","23,0","20,7","18,4","18,4","18,4"
4208,Lovosice,42,27626,10. 10. 2024,3. 10. 2024,"54,3","54,3","61,5","-7,2",32,29,32,35,58,61,71,45,100,81,97,52,48,10,26,10,3,3,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,10,0,3,0,0,3,3,3,13,10,3,6,6,35,19,"36,2","32,6","36,2","39,8","65,2","68,8","79,6","50,7","112,2","90,5","108,6","57,9","54,3","10,9","29,0","10,9","3,6","3,6","0,0","7,2","0,0","3,6","0,0","0,0","3,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","10,9","0,0","3,6","0,0","0,0","3,6","3,6","3,6","14,5","10,9","3,6","7,2","7,2","39,8","21,7","61,5","68,8","65,2","65,2","65,2","57,9","57,9","54,3"
4209,Most,42,72170,10. 10. 2024,3. 10. 2024,"24,9","24,9","23,6","1,4",16,10,14,23,19,32,56,86,83,100,76,20,19,13,6,3,6,3,1,1,1,0,0,1,1,0,1,4,1,0,0,0,0,1,1,0,0,0,0,2,0,2,1,5,0,6,2,11,11,11,20,"23,6","15,2","20,8","34,6","29,1","48,5","84,5","128,9","124,7","149,6","113,6","30,5","29,1","19,4","8,3","4,2","8,3","4,2","1,4","1,4","1,4","0,0","0,0","1,4","1,4","0,0","1,4","5,5","1,4","0,0","0,0","0,0","0,0","1,4","1,4","0,0","0,0","0,0","0,0","2,8","0,0","2,8","1,4","6,9","0,0","9,7","2,8","16,6","16,6","16,6","30,5","23,6","24,9","24,9","24,9","27,7","30,5","26,3","24,9"
4210,Podbořany,42,15712,10. 10. 2024,3. 10. 2024,"38,2","38,2","44,6","-6,4",50,14,14,21,36,36,100,86,79,86,64,50,14,21,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,14,21,50,"44,6","12,7","12,7","19,1","31,8","31,8","89,1","76,4","70,0","76,4","57,3","44,6","12,7","19,1","6,4","0,0","0,0","0,0","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,7","0,0","6,4","12,7","19,1","44,6","44,6","38,2","38,2","44,6","31,8","38,2","38,2","38,2"
4211,Roudnice nad Labem,42,33151,10. 10. 2024,3. 10. 2024,"66,4","66,4","72,4","-6,0",31,18,14,22,33,31,37,65,65,98,100,20,37,35,14,10,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,4,8,2,10,8,6,22,51,"45,2","27,1","21,1","33,2","48,3","45,2","54,3","96,5","96,5","144,8","147,8","30,2","54,3","51,3","21,1","15,1","6,0","6,0","0,0","0,0","0,0","3,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","6,0","9,0","6,0","12,1","3,0","15,1","12,1","9,0","33,2","75,4","72,4","69,4","69,4","69,4","81,4","84,5","84,5","66,4"
4212,Rumburk,42,32429,10. 10. 2024,3. 10. 2024,"33,9","33,9","27,8","6,2",14,5,23,12,30,26,35,30,81,100,65,28,26,9,19,2,5,0,2,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,5,5,5,0,0,14,42,19,"18,5","6,2","30,8","15,4","40,1","33,9","46,3","40,1","107,9","132,6","86,3","37,0","33,9","12,3","24,7","3,1","6,2","0,0","3,1","0,0","0,0","0,0","0,0","0,0","3,1","0,0","9,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,1","0,0","0,0","0,0","0,0","9,3","6,2","6,2","6,2","0,0","0,0","18,5","55,5","24,7","27,8","30,8","27,8","27,8","33,9","33,9","27,8","33,9"
4213,Teplice,42,108055,10. 10. 2024,3. 10. 2024,"56,5","56,5","40,7","15,7",12,15,28,32,41,33,36,58,73,100,92,38,29,21,12,4,4,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,2,1,2,1,3,1,4,7,6,3,4,9,9,21,42,"14,8","19,4","35,2","40,7","51,8","41,6","45,3","74,0","93,5","127,7","117,5","48,1","37,0","26,8","14,8","5,6","5,6","0,9","1,9","0,0","1,9","0,0","0,9","0,0","1,9","0,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9","1,9","0,9","2,8","1,9","2,8","0,9","3,7","1,9","4,6","8,3","7,4","3,7","4,6","12,0","12,0","26,8","53,7","40,7","48,1","48,1","48,1","47,2","50,9","52,8","56,5"
4214,Ústí nad Labem,42,118839,10. 10. 2024,3. 10. 2024,"86,7","86,7","74,0","12,6",19,17,23,36,29,40,46,62,81,100,86,34,29,21,12,4,10,6,3,5,1,2,0,0,0,0,4,0,0,0,0,0,1,1,1,1,0,1,2,1,4,1,1,7,6,8,8,10,18,24,45,"32,8","29,5","40,4","63,1","49,6","69,0","80,8","108,6","141,4","174,2","150,6","59,7","49,6","37,0","20,2","6,7","17,7","10,9","5,9","8,4","1,7","3,4","0,8","0,8","0,8","0,8","7,6","0,0","0,8","0,8","0,8","0,0","2,5","1,7","2,5","1,7","0,0","2,5","3,4","2,5","7,6","2,5","1,7","11,8","10,1","14,3","14,3","16,8","31,1","41,2","79,1","74,0","77,4","77,4","79,1","85,8","77,4","74,9","86,7"
4215,Varnsdorf,42,19498,10. 10. 2024,3. 10. 2024,"15,4","15,4","15,4","0,0",7,13,40,0,27,33,60,93,73,80,100,27,27,0,47,0,0,13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,33,"5,1","10,3","30,8","0,0","20,5","25,6","46,2","71,8","56,4","61,5","76,9","20,5","20,5","0,0","35,9","0,0","0,0","10,3","5,1","0,0","5,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,1","10,3","25,6","15,4","10,3","10,3","10,3","10,3","5,1","5,1","15,4"
4216,Žatec,42,27772,10. 10. 2024,3. 10. 2024,"32,4","32,4","25,2","7,2",6,6,19,22,41,28,25,53,62,97,100,25,16,16,6,3,6,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,3,9,0,6,19,12,"7,2","7,2","21,6","25,2","46,8","32,4","28,8","61,2","72,0","111,6","115,2","28,8","18,0","18,0","7,2","3,6","7,2","3,6","3,6","3,6","3,6","0,0","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","7,2","3,6","10,8","0,0","7,2","21,6","14,4","25,2","25,2","28,8","28,8","28,8","28,8","36,0","32,4"
5101,Česká Lípa,51,76995,10. 10. 2024,3. 10. 2024,"54,5","54,5","32,5","22,1",9,13,13,14,30,30,33,66,76,100,99,24,38,14,9,3,6,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,2,5,1,7,6,8,15,15,33,49,"11,7","16,9","16,9","18,2","37,7","37,7","41,6","83,1","96,1","126,0","124,7","29,9","48,1","18,2","11,7","3,9","7,8","10,4","2,6","0,0","2,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3","0,0","0,0","0,0","2,6","0,0","0,0","2,6","1,3","2,6","6,5","1,3","9,1","7,8","10,4","19,5","19,5","41,6","62,3","32,5","33,8","33,8","33,8","40,3","44,2","46,8","54,5"
5102,Frýdlant,51,24682,10. 10. 2024,3. 10. 2024,"40,5","40,5","44,6","-4,1",11,11,5,5,0,32,26,68,100,100,58,42,58,26,21,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,11,5,21,42,58,"8,1","8,1","4,1","4,1","0,0","24,3","20,3","52,7","77,0","77,0","44,6","32,4","44,6","20,3","16,2","0,0","0,0","4,1","4,1","0,0","0,0","4,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,1","0,0","8,1","0,0","0,0","0,0","8,1","4,1","16,2","32,4","44,6","44,6","60,8","60,8","60,8","44,6","48,6","44,6","40,5"
