kód,obec,kraj,počet obyv.
1000,Praha,10,1357326
2001,Benešov,20,63219
2002,Beroun,20,69040
2003,Brandýs nad Labem-Stará Boleslav,20,120779
2004,Čáslav,20,26427
2005,Černošice,20,158235
2006,Český Brod,20,20725
2007,Dobříš,20,23935
2008,Hořovice,20,31477
2009,Kladno,20,126779
2010,Kolín,20,86543
2011,Kralupy nad Vltavou,20,34023
2012,Kutná Hora,20,51645
2013,Lysá nad Labem,20,31575
2014,Mělník,20,46205
2015,Mladá Boleslav,20,115318
2016,Mnichovo Hradiště,20,18558
2017,Neratovice,20,32872
2018,Nymburk,20,41484
2019,Poděbrady,20,32404
2020,Příbram,20,71498
2021,Rakovník,20,56058
2022,Říčany,20,77533
2023,Sedlčany,20,22121
2024,Slaný,20,41929
2025,Vlašim,20,26226
2026,Votice,20,12783
3101,Blatná,31,13685
3102,České Budějovice,31,166778
3103,Český Krumlov,31,41867
3104,Dačice,31,18507
3105,Jindřichův Hradec,31,46910
3106,Kaplice,31,20171
3107,Milevsko,31,18188
3108,Písek,31,54337
3109,Prachatice,31,33973
3110,Soběslav,31,22423
3111,Strakonice,31,45297
3112,Tábor,31,81475
3113,Trhové Sviny,31,19580
3114,Třeboň,31,24984
3115,Týn nad Vltavou,31,14068
3116,Vimperk,31,17471
3117,Vodňany,31,12589
3201,Blovice,32,12463
3202,Domažlice,32,40681
3203,Horažďovice,32,11522
3204,Horšovský Týn,32,15115
3205,Klatovy,32,51410
3206,Kralovice,32,23015
3207,Nepomuk,32,11279
3208,Nýřany,32,60054
3209,Plzeň,32,201517
3210,Přeštice,32,23046
3211,Rokycany,32,50258
3212,Stod,32,24201
3213,Stříbro,32,17656
3214,Sušice,32,23921
3215,Tachov,32,39250
4101,Aš,41,17265
4102,Cheb,41,50190
4103,Karlovy Vary,41,88206
4104,Kraslice,41,12832
4105,Mariánské Lázně,41,25181
4106,Ostrov,41,26789
4107,Sokolov,41,73132
4201,Bílina,42,19626
4202,Děčín,42,75342
4203,Chomutov,42,80665
4204,Kadaň,42,43370
4205,Litoměřice,42,58580
4206,Litvínov,42,35946
4207,Louny,42,43556
4208,Lovosice,42,27626
4209,Most,42,72170
4210,Podbořany,42,15712
4211,Roudnice nad Labem,42,33151
4212,Rumburk,42,32429
4213,Teplice,42,108055
4214,Ústí nad Labem,42,118839
4215,Varnsdorf,42,19498
4216,Žatec,42,27772
