kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 62,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,25.9.24,2.10.24,9.10.24,16.10.24,23.10.24,30.10.24,6.11.24,13.11.24,20.11.24,27.11.24,4.12.24,11.12.24,18.12.24,25.12.24,1.1.25,8.1.25,15.1.25,22.1.25,29.1.25,5.2.25,12.2.25,19.2.25,26.2.25,5.3.25,12.3.25,19.3.25,26.3.25,2.4.25,9.4.25,16.4.25,23.4.25,30.4.25,7.5.25,14.5.25,21.5.25,28.5.25,4.6.25,11.6.25,18.6.25,25.6.25,2.7.25,9.7.25,16.7.25,23.7.25,30.7.25,6.8.25,13.8.25,20.8.25,27.8.25,3.9.25,10.9.25,17.9.25,18.9.25,19.9.25,20.9.25,21.9.25,22.9.25,23.9.25,24.9.25
2010,Kolín,20,86543,24. 9. 2025,17. 9. 2025,"469,1","469,1","458,7","10,4",97,100,99,100,95,91,90,92,89,88,88,87,86,86,84,85,84,84,84,84,85,85,84,84,84,84,84,84,83,84,83,83,83,83,83,83,83,84,84,83,83,84,84,83,84,85,86,86,86,87,92,94,"473,8","486,5","483,0","485,3","461,0","444,9","440,2","448,3","432,2","427,5","426,4","422,9","419,4","416,0","407,9","411,4","407,9","407,9","407,9","410,2","411,4","414,8","410,2","410,2","407,9","406,7","407,9","406,7","405,6","409,0","405,6","403,3","403,3","402,1","403,3","403,3","405,6","406,7","406,7","405,6","405,6","406,7","406,7","405,6","407,9","412,5","419,4","417,1","419,4","425,2","446,0","458,7","459,9","469,1","464,5","456,4","463,4","462,2","469,1"
2011,Kralupy nad Vltavou,20,34023,24. 9. 2025,17. 9. 2025,"455,6","455,6","443,8","11,8",93,94,92,100,91,84,79,79,81,80,80,81,82,79,78,77,81,81,80,78,77,77,78,79,78,78,78,78,78,78,78,78,78,78,78,79,78,78,78,78,78,78,78,78,78,78,79,80,79,82,87,86,"482,0","485,0","476,1","517,3","473,2","432,1","408,5","408,5","417,4","414,4","414,4","420,3","423,2","408,5","402,7","399,7","420,3","420,3","411,5","405,6","399,7","399,7","405,6","408,5","402,7","405,6","405,6","402,7","402,7","405,6","405,6","402,7","402,7","405,6","405,6","408,5","405,6","405,6","402,7","402,7","402,7","402,7","402,7","405,6","405,6","402,7","408,5","411,5","408,5","426,2","449,7","443,8","437,9","455,6","452,6","449,7","446,8","446,8","455,6"
2012,Kutná Hora,20,51645,24. 9. 2025,17. 9. 2025,"426,0","426,0","406,6","19,4",98,97,99,100,98,92,91,91,92,90,90,89,88,87,86,87,85,87,87,87,88,88,87,87,87,87,86,85,85,85,85,85,85,85,86,88,88,87,85,85,87,86,86,85,85,85,86,86,88,88,89,90,"441,5","439,5","445,3","451,2","441,5","416,3","412,4","410,5","416,3","406,6","404,7","400,8","395,0","391,1","387,3","393,1","385,3","391,1","393,1","391,1","396,9","398,9","391,1","391,1","391,1","393,1","387,3","385,3","383,4","383,4","383,4","385,3","385,3","385,3","389,2","396,9","398,9","391,1","383,4","385,3","391,1","389,2","387,3","385,3","383,4","385,3","389,2","389,2","396,9","398,9","402,7","406,6","406,6","412,4","410,5","408,6","414,4","420,2","426,0"
2013,Lysá nad Labem,20,31575,24. 9. 2025,17. 9. 2025,"307,2","307,2","291,4","15,8",93,100,98,93,88,79,80,82,86,79,78,80,80,78,76,76,78,77,77,78,77,76,76,76,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,80,78,79,79,81,81,79,82,84,84,85,82,88,"307,2","329,4","323,0","307,2","288,2","259,7","262,9","269,2","281,9","259,7","256,5","262,9","262,9","256,5","250,2","250,2","256,5","253,4","253,4","256,5","253,4","250,2","250,2","250,2","256,5","256,5","256,5","256,5","256,5","256,5","256,5","256,5","256,5","256,5","256,5","259,7","259,7","259,7","259,7","262,9","256,5","259,7","259,7","266,0","266,0","259,7","269,2","275,5","275,5","278,7","269,2","291,4","300,9","307,2","304,0","300,9","304,0","304,0","307,2"
2014,Mělník,20,46205,24. 9. 2025,17. 9. 2025,"551,9","551,9","480,5","71,4",93,100,100,98,92,87,86,86,84,87,88,86,83,82,80,80,80,79,79,78,78,77,78,77,78,78,78,78,78,77,77,77,77,77,77,77,78,78,78,79,78,78,78,78,78,79,79,78,79,80,84,89,"504,3","541,1","538,9","528,1","499,9","469,6","463,2","465,3","454,5","469,6","478,3","463,2","450,2","441,5","432,9","432,9","430,7","426,4","428,5","424,2","422,0","415,5","422,0","417,7","419,9","419,9","419,9","419,9","419,9","417,7","415,5","417,7","415,5","415,5","417,7","417,7","422,0","422,0","424,2","426,4","422,0","424,2","424,2","419,9","419,9","426,4","428,5","424,2","428,5","435,0","454,5","480,5","493,5","493,5","484,8","482,6","504,3","512,9","551,9"
2015,Mladá Boleslav,20,115318,24. 9. 2025,17. 9. 2025,"498,6","498,6","485,6","13,0",81,82,80,80,76,70,69,69,69,65,65,65,64,65,63,63,63,64,64,64,63,63,63,63,69,69,84,90,87,87,87,88,89,89,89,89,89,88,88,89,89,89,89,89,89,89,89,89,90,93,94,100,"391,1","399,8","389,4","390,2","367,7","340,8","333,0","333,0","333,0","317,4","317,4","314,8","312,2","314,8","307,0","305,2","305,2","308,7","310,4","308,7","304,4","305,2","305,2","307,0","333,9","333,9","405,8","437,1","422,3","420,6","424,0","429,2","430,1","430,1","431,0","431,0","431,0","429,2","428,4","431,8","433,6","431,0","431,0","432,7","434,5","433,6","432,7","434,5","438,8","450,1","456,1","485,6","485,6","488,2","484,7","481,3","483,9","489,1","498,6"
2016,Mnichovo Hradiště,20,18558,24. 9. 2025,17. 9. 2025,"576,6","576,6","538,9","37,7",97,93,87,88,85,83,83,80,80,80,79,78,79,78,78,78,79,77,77,77,77,77,77,77,82,80,82,84,84,84,86,87,88,88,88,88,88,88,88,88,88,89,91,90,89,90,88,90,91,91,93,100,"522,7","501,1","468,8","474,2","458,0","447,2","447,2","431,1","431,1","431,1","425,7","420,3","425,7","420,3","420,3","420,3","425,7","414,9","414,9","414,9","414,9","414,9","414,9","414,9","441,9","431,1","441,9","452,6","452,6","452,6","463,4","468,8","474,2","474,2","474,2","474,2","474,2","474,2","474,2","474,2","474,2","479,6","490,4","485,0","479,6","485,0","474,2","485,0","490,4","490,4","501,1","538,9","555,0","555,0","544,2","538,9","549,6","555,0","576,6"
2017,Neratovice,20,32872,24. 9. 2025,17. 9. 2025,"398,5","398,5","401,6","-3,0",86,100,97,97,90,77,73,73,75,74,73,74,73,71,70,69,69,70,70,70,66,67,67,66,65,65,66,66,65,66,66,65,65,65,65,65,65,66,66,65,65,68,66,66,66,67,69,70,69,73,79,86,"404,6","468,5","453,3","456,3","419,8","359,0","343,8","340,7","349,8","346,8","340,7","346,8","340,7","334,6","328,5","325,5","325,5","328,5","328,5","328,5","310,3","313,3","313,3","307,3","304,2","304,2","310,3","310,3","304,2","307,3","307,3","304,2","304,2","304,2","304,2","304,2","304,2","310,3","310,3","304,2","304,2","316,4","307,3","307,3","307,3","313,3","325,5","328,5","325,5","343,8","368,1","401,6","395,5","401,6","392,4","380,3","383,3","380,3","398,5"
2018,Nymburk,20,41484,24. 9. 2025,17. 9. 2025,"359,2","359,2","364,0","-4,8",92,94,99,100,94,90,87,85,85,88,90,88,87,84,84,85,85,84,85,84,85,85,84,84,84,84,84,84,84,84,84,84,84,84,86,85,84,84,84,84,85,85,84,84,84,84,84,88,88,87,90,92,"364,0","373,6","392,9","397,7","373,6","356,8","347,1","339,9","337,5","351,9","359,2","349,5","347,1","335,1","332,7","339,9","339,9","335,1","339,9","335,1","339,9","337,5","335,1","335,1","332,7","332,7","332,7","332,7","335,1","335,1","332,7","332,7","332,7","335,1","342,3","339,9","332,7","332,7","332,7","335,1","337,5","337,5","332,7","332,7","332,7","332,7","335,1","349,5","349,5","347,1","356,8","364,0","364,0","354,4","354,4","351,9","349,5","351,9","359,2"
2019,Poděbrady,20,32404,24. 9. 2025,17. 9. 2025,"453,6","453,6","435,1","18,5",97,92,95,100,97,92,91,88,89,91,93,91,89,88,87,89,87,88,88,89,89,87,87,87,88,88,87,89,87,87,88,86,86,86,86,86,89,89,86,87,87,86,86,87,89,89,88,89,91,93,92,95,"441,3","419,7","435,1","456,7","441,3","419,7","413,5","401,2","407,4","413,5","422,8","416,6","404,3","401,2","398,1","404,3","398,1","401,2","401,2","404,3","404,3","398,1","398,1","398,1","401,2","401,2","398,1","404,3","398,1","398,1","401,2","395,0","395,0","395,0","395,0","395,0","407,4","407,4","395,0","398,1","398,1","395,0","395,0","398,1","404,3","404,3","401,2","404,3","416,6","422,8","419,7","435,1","432,0","432,0","432,0","429,0","447,5","450,6","453,6"
