kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 62,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,25.9.24,2.10.24,9.10.24,16.10.24,23.10.24,30.10.24,6.11.24,13.11.24,20.11.24,27.11.24,4.12.24,11.12.24,18.12.24,25.12.24,1.1.25,8.1.25,15.1.25,22.1.25,29.1.25,5.2.25,12.2.25,19.2.25,26.2.25,5.3.25,12.3.25,19.3.25,26.3.25,2.4.25,9.4.25,16.4.25,23.4.25,30.4.25,7.5.25,14.5.25,21.5.25,28.5.25,4.6.25,11.6.25,18.6.25,25.6.25,2.7.25,9.7.25,16.7.25,23.7.25,30.7.25,6.8.25,13.8.25,20.8.25,27.8.25,3.9.25,10.9.25,17.9.25,18.9.25,19.9.25,20.9.25,21.9.25,22.9.25,23.9.25,24.9.25
3104,Dačice,31,18507,24. 9. 2025,17. 9. 2025,"486,3","486,3","459,3","27,0",78,100,93,76,69,59,57,56,57,57,57,57,57,56,54,54,54,54,54,54,55,54,54,54,55,55,54,55,54,55,55,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,57,"632,2","810,5","751,1","616,0","561,9","475,5","459,3","453,9","464,7","459,3","464,7","464,7","459,3","453,9","437,7","437,7","437,7","437,7","437,7","437,7","443,1","437,7","437,7","437,7","443,1","443,1","437,7","448,5","437,7","443,1","443,1","437,7","437,7","437,7","437,7","437,7","437,7","437,7","443,1","448,5","443,1","443,1","443,1","443,1","443,1","443,1","443,1","443,1","448,5","448,5","448,5","459,3","464,7","480,9","486,3","480,9","475,5","486,3","486,3"
3105,Jindřichův Hradec,31,46910,24. 9. 2025,17. 9. 2025,"558,5","558,5","547,9","10,7",87,100,100,97,87,82,81,78,79,78,78,76,76,74,73,75,74,73,74,74,73,73,74,74,74,74,74,74,74,74,74,73,73,73,73,73,74,74,74,74,73,73,74,73,73,75,75,74,75,74,78,83,"577,7","660,8","663,0","643,8","579,8","545,7","537,2","515,9","522,3","515,9","515,9","501,0","503,1","488,2","483,9","496,7","490,3","483,9","492,4","490,3","483,9","483,9","492,4","488,2","488,2","490,3","490,3","492,4","488,2","492,4","488,2","486,0","486,0","486,0","486,0","486,0","488,2","488,2","490,3","488,2","486,0","486,0","488,2","486,0","486,0","496,7","494,6","490,3","494,6","488,2","515,9","547,9","541,5","541,5","541,5","539,3","541,5","547,9","558,5"
3106,Kaplice,31,20171,24. 9. 2025,17. 9. 2025,"515,6","515,6","456,1","59,5",89,96,100,94,86,78,80,79,75,76,80,78,77,76,75,75,75,75,76,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,75,75,81,"505,7","545,3","565,2","530,5","485,8","441,2","451,1","446,2","421,4","431,3","451,1","441,2","436,3","431,3","426,4","426,4","426,4","421,4","431,3","426,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","421,4","426,4","426,4","421,4","421,4","426,4","426,4","421,4","421,4","421,4","421,4","421,4","426,4","431,3","426,4","426,4","456,1","451,1","451,1","451,1","441,2","500,7","500,7","515,6"
3107,Milevsko,31,18188,24. 9. 2025,17. 9. 2025,"742,2","742,2","588,3","153,9",89,100,96,87,87,76,79,81,81,79,73,73,74,74,70,70,69,68,68,69,68,68,69,69,69,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,68,68,69,69,68,69,75,77,72,74,79,82,"637,8","720,3","692,8","626,8","626,8","549,8","566,3","582,8","582,8","566,3","522,3","527,8","533,3","533,3","505,8","505,8","500,3","489,3","489,3","494,8","489,3","489,3","500,3","500,3","494,8","489,3","489,3","489,3","489,3","489,3","489,3","489,3","489,3","489,3","489,3","489,3","489,3","494,8","494,8","494,8","489,3","489,3","494,8","500,3","489,3","494,8","538,8","555,3","516,8","533,3","566,3","588,3","621,3","632,3","637,8","637,8","643,3","692,8","742,2"
3108,Písek,31,54337,24. 9. 2025,17. 9. 2025,"504,3","504,3","471,1","33,1",91,96,100,94,88,82,77,75,75,77,76,74,72,73,72,71,70,70,71,71,71,70,71,71,70,70,70,70,70,70,70,70,69,70,70,69,69,70,70,70,70,70,70,70,70,71,71,72,72,72,77,87,"493,2","519,0","539,2","507,9","473,0","441,7","414,1","404,9","403,0","415,9","408,6","397,5","390,2","392,0","386,5","381,0","379,1","377,3","381,0","382,8","382,8","379,1","384,6","381,0","379,1","379,1","375,4","379,1","379,1","375,4","375,4","375,4","373,6","375,4","375,4","373,6","373,6","375,4","377,3","377,3","375,4","375,4","375,4","375,4","377,3","381,0","382,8","386,5","386,5","390,2","414,1","471,1","485,9","489,5","489,5","482,2","487,7","489,5","504,3"
3109,Prachatice,31,33973,24. 9. 2025,17. 9. 2025,"494,5","494,5","479,8","14,7",98,98,98,99,100,93,91,89,87,87,88,87,86,86,84,86,87,84,85,85,86,85,85,85,85,85,85,85,85,85,85,84,84,84,84,85,85,84,85,84,85,85,85,85,87,85,85,85,85,88,88,91,"515,1","515,1","515,1","521,0","526,9","488,6","476,8","471,0","456,2","456,2","462,1","456,2","453,3","453,3","444,5","453,3","459,2","444,5","447,4","450,4","453,3","447,4","450,4","450,4","447,4","447,4","447,4","447,4","447,4","447,4","447,4","444,5","444,5","444,5","444,5","450,4","450,4","444,5","447,4","444,5","447,4","447,4","447,4","450,4","459,2","450,4","447,4","450,4","450,4","462,1","465,1","479,8","473,9","476,8","479,8","479,8","488,6","494,5","494,5"
3110,Soběslav,31,22423,24. 9. 2025,17. 9. 2025,"588,7","588,7","584,2","4,5",88,96,98,100,91,91,93,91,90,90,86,86,86,82,81,81,81,81,82,83,82,81,81,80,80,80,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,79,79,79,79,79,79,80,80,81,81,"633,3","695,7","709,1","722,5","655,6","660,0","669,0","655,6","651,1","646,7","619,9","624,4","619,9","593,1","584,2","584,2","584,2","584,2","593,1","602,1","593,1","584,2","584,2","579,8","579,8","575,3","570,8","570,8","570,8","570,8","570,8","570,8","570,8","570,8","570,8","570,8","570,8","579,8","579,8","575,3","575,3","575,3","570,8","570,8","570,8","570,8","570,8","570,8","575,3","579,8","584,2","584,2","584,2","584,2","584,2","584,2","588,7","588,7","588,7"
3111,Strakonice,31,45297,24. 9. 2025,17. 9. 2025,"684,4","684,4","691,0","-6,6",98,100,97,93,88,85,82,86,86,83,81,81,81,81,80,80,80,80,80,80,79,78,79,79,79,79,79,80,78,78,78,78,79,79,78,78,78,79,78,78,80,80,80,80,80,80,80,80,82,83,88,91,"746,2","759,4","739,6","704,2","666,7","644,6","622,6","651,3","651,3","633,6","611,5","613,7","611,5","611,5","609,3","607,1","607,1","604,9","607,1","607,1","598,3","593,9","602,7","600,5","600,5","598,3","598,3","604,9","596,1","593,9","591,7","593,9","602,7","598,3","593,9","596,1","596,1","598,3","593,9","596,1","607,1","604,9","609,3","607,1","609,3","604,9","609,3","607,1","622,6","631,4","668,9","691,0","691,0","695,4","693,2","668,9","666,7","673,3","684,4"
3112,Tábor,31,81475,24. 9. 2025,17. 9. 2025,"549,9","549,9","532,7","17,2",89,97,96,100,96,92,89,88,88,87,87,84,83,82,81,81,80,80,80,80,79,79,78,78,78,78,78,79,79,79,78,78,78,78,78,78,78,78,78,78,79,78,79,79,79,78,78,80,80,81,81,82,"574,4","627,2","622,3","648,1","619,8","597,7","578,1","569,5","572,0","560,9","565,8","543,7","538,8","532,7","525,3","527,8","521,6","516,7","515,5","519,2","511,8","509,4","506,9","508,1","508,1","508,1","508,1","509,4","509,4","509,4","506,9","505,7","508,1","506,9","504,4","505,7","505,7","505,7","506,9","508,1","509,4","508,1","509,4","513,0","511,8","506,9","508,1","515,5","520,4","524,1","527,8","532,7","536,4","537,6","537,6","536,4","541,3","547,4","549,9"
3113,Trhové Sviny,31,19580,24. 9. 2025,17. 9. 2025,"536,3","536,3","515,8","20,4",93,99,100,96,89,90,90,89,88,87,88,90,88,88,87,86,87,87,86,87,86,86,86,86,86,87,87,86,86,86,86,86,86,86,86,86,87,87,87,88,86,86,86,86,86,86,86,86,86,86,90,90,"531,2","566,9","572,0","546,5","510,7","515,8","515,8","510,7","505,6","495,4","505,6","515,8","500,5","500,5","495,4","490,3","495,4","495,4","490,3","495,4","490,3","490,3","490,3","490,3","490,3","495,4","495,4","490,3","490,3","490,3","490,3","490,3","490,3","490,3","490,3","490,3","495,4","495,4","495,4","500,5","490,3","490,3","490,3","490,3","490,3","490,3","490,3","490,3","490,3","490,3","515,8","515,8","526,0","515,8","515,8","515,8","536,3","536,3","536,3"
3114,Třeboň,31,24984,24. 9. 2025,17. 9. 2025,"548,4","548,4","528,3","20,0",93,100,98,95,94,83,82,82,80,80,81,79,79,78,76,78,78,82,86,85,79,79,79,78,77,79,79,77,78,78,76,76,76,77,76,77,77,78,77,76,76,77,77,76,78,78,78,78,78,77,79,80,"612,4","660,4","644,4","628,4","620,4","548,4","540,3","544,3","528,3","528,3","532,3","520,3","520,3","512,3","500,3","516,3","512,3","544,3","568,4","560,4","524,3","520,3","520,3","516,3","508,3","520,3","520,3","508,3","512,3","516,3","504,3","504,3","504,3","508,3","504,3","508,3","508,3","512,3","508,3","504,3","504,3","508,3","508,3","504,3","512,3","516,3","516,3","516,3","512,3","508,3","520,3","528,3","540,3","540,3","540,3","536,3","548,4","548,4","548,4"
3115,Týn nad Vltavou,31,14068,24. 9. 2025,17. 9. 2025,"362,5","362,5","319,9","42,6",100,79,82,86,63,56,57,54,53,54,52,51,51,51,50,51,50,49,49,49,48,49,48,48,48,48,48,49,49,48,48,48,50,48,48,48,48,49,49,48,48,50,49,49,48,48,48,48,48,49,51,50,"639,7","504,7","526,0","547,3","405,2","355,4","362,5","348,3","341,2","348,3","334,1","327,0","327,0","327,0","319,9","327,0","319,9","312,8","312,8","312,8","305,7","312,8","305,7","305,7","305,7","305,7","305,7","312,8","312,8","305,7","305,7","305,7","319,9","305,7","305,7","305,7","305,7","312,8","312,8","305,7","305,7","319,9","312,8","312,8","305,7","305,7","305,7","305,7","305,7","312,8","327,0","319,9","334,1","341,2","334,1","334,1","348,3","362,5","362,5"
3116,Vimperk,31,17471,24. 9. 2025,17. 9. 2025,"629,6","629,6","641,1","-11,4",96,100,93,86,84,78,72,72,75,70,69,72,71,70,68,69,68,68,69,69,69,69,69,69,68,69,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,70,69,69,69,69,70,75,84,"732,6","767,0","709,7","658,2","641,1","601,0","555,2","549,5","578,1","538,0","532,3","549,5","543,8","538,0","520,9","526,6","520,9","520,9","532,3","532,3","526,6","526,6","532,3","532,3","520,9","526,6","520,9","520,9","520,9","520,9","520,9","520,9","520,9","520,9","526,6","526,6","526,6","532,3","532,3","526,6","526,6","526,6","526,6","526,6","538,0","526,6","526,6","532,3","532,3","538,0","572,4","641,1","652,5","646,8","646,8","629,6","629,6","629,6","629,6"
3117,Vodňany,31,12589,24. 9. 2025,17. 9. 2025,"468,7","468,7","460,7","7,9",92,91,88,100,98,80,81,81,78,75,73,73,77,75,72,75,73,73,73,77,77,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,75,75,75,78,88,91,"468,7","460,7","444,8","508,4","500,4","405,1","413,1","413,1","397,2","381,3","373,3","373,3","389,2","381,3","365,4","381,3","373,3","373,3","373,3","389,2","389,2","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","373,3","381,3","381,3","381,3","397,2","444,8","460,7","468,7","452,8","444,8","444,8","436,9","444,8","468,7"
3201,Blovice,32,12463,24. 9. 2025,17. 9. 2025,"666,0","666,0","722,1","-56,2",90,91,100,89,77,71,65,64,65,65,60,64,64,61,61,63,61,60,61,62,60,60,60,60,61,61,60,60,60,60,60,60,60,60,60,61,60,60,60,60,60,61,61,61,61,61,61,62,62,64,66,70,"930,8","946,8","1035,1","922,7","794,4","730,2","674,0","657,9","674,0","674,0","625,9","657,9","657,9","633,9","633,9","649,9","633,9","625,9","633,9","641,9","625,9","625,9","625,9","625,9","633,9","633,9","625,9","625,9","625,9","625,9","625,9","625,9","625,9","625,9","625,9","633,9","625,9","625,9","625,9","625,9","625,9","633,9","633,9","633,9","633,9","633,9","633,9","641,9","641,9","666,0","682,0","722,1","706,1","714,1","714,1","698,1","674,0","657,9","666,0"
3202,Domažlice,32,40681,24. 9. 2025,17. 9. 2025,"496,5","496,5","476,9","19,7",96,100,100,98,90,82,75,74,73,70,70,68,67,67,66,67,67,66,67,68,66,66,65,65,66,67,65,65,65,65,65,65,65,65,66,66,65,65,66,67,68,67,65,65,67,67,66,67,67,70,73,73,"626,8","653,9","653,9","641,6","587,5","538,3","489,2","481,8","479,3","454,8","457,2","447,4","440,0","435,1","430,2","440,0","437,6","432,6","437,6","442,5","430,2","430,2","427,7","427,7","432,6","435,1","425,3","425,3","425,3","427,7","427,7","425,3","427,7","427,7","432,6","432,6","427,7","425,3","430,2","435,1","442,5","440,0","427,7","427,7","435,1","435,1","432,6","435,1","437,6","454,8","474,4","476,9","479,3","476,9","469,5","467,0","479,3","481,8","496,5"
3203,Horažďovice,32,11522,24. 9. 2025,17. 9. 2025,"711,7","711,7","659,6","52,1",96,100,99,89,85,83,84,81,83,83,83,82,87,84,78,80,81,79,78,78,78,78,78,79,79,80,80,78,78,78,78,78,78,78,78,78,78,82,81,79,80,79,78,78,79,79,78,78,80,80,81,80,"789,8","824,5","815,8","737,7","703,0","685,6","694,3","668,3","685,6","685,6","685,6","677,0","720,4","694,3","642,2","659,6","668,3","650,9","642,2","642,2","642,2","642,2","642,2","650,9","650,9","659,6","659,6","642,2","642,2","642,2","642,2","642,2","642,2","642,2","642,2","642,2","642,2","677,0","668,3","650,9","659,6","650,9","642,2","642,2","650,9","650,9","642,2","642,2","659,6","659,6","668,3","659,6","659,6","659,6","659,6","659,6","685,6","703,0","711,7"
3204,Horšovský Týn,32,15115,24. 9. 2025,17. 9. 2025,"350,6","350,6","363,9","-13,2",91,92,98,100,89,82,80,79,82,79,76,76,76,76,76,74,74,76,77,76,80,77,77,76,76,76,76,76,74,74,74,74,74,74,74,74,74,76,76,74,76,76,76,76,76,76,76,76,77,76,80,83,"397,0","403,6","430,0","436,7","390,3","357,3","350,6","344,0","357,3","344,0","330,8","330,8","330,8","330,8","330,8","324,2","324,2","330,8","337,4","330,8","350,6","337,4","337,4","330,8","330,8","330,8","330,8","330,8","324,2","324,2","324,2","324,2","324,2","324,2","324,2","324,2","324,2","330,8","330,8","324,2","330,8","330,8","330,8","330,8","330,8","330,8","330,8","330,8","337,4","330,8","350,6","363,9","357,3","357,3","350,6","350,6","350,6","350,6","350,6"
3205,Klatovy,32,51410,24. 9. 2025,17. 9. 2025,"533,0","533,0","517,4","15,6",93,100,93,91,86,80,76,75,74,73,74,74,74,73,72,74,72,73,74,73,72,72,71,71,70,70,71,71,70,70,70,71,71,71,71,71,71,71,72,71,71,71,71,71,71,73,74,75,75,76,76,76,"630,2","676,9","628,3","612,7","585,5","540,8","511,6","507,7","499,9","496,0","499,9","503,8","501,8","492,1","488,2","501,8","488,2","492,1","503,8","492,1","488,2","484,3","482,4","480,5","476,6","476,6","478,5","478,5","476,6","476,6","476,6","478,5","478,5","478,5","480,5","480,5","482,4","482,4","486,3","480,5","480,5","480,5","480,5","478,5","482,4","492,1","503,8","505,7","509,6","513,5","511,6","517,4","513,5","509,6","507,7","505,7","513,5","525,2","533,0"
3206,Kralovice,32,23015,24. 9. 2025,17. 9. 2025,"425,8","425,8","443,2","-17,4",100,98,97,90,88,85,72,69,68,66,66,66,63,63,65,64,63,64,63,64,64,64,63,64,63,63,63,63,63,64,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,65,64,66,69,71,78,"569,2","560,5","551,8","512,7","499,7","482,3","408,4","391,0","386,7","373,7","378,0","378,0","356,3","360,6","369,3","365,0","356,3","365,0","360,6","365,0","365,0","365,0","360,6","365,0","360,6","360,6","360,6","360,6","356,3","365,0","360,6","356,3","356,3","356,3","356,3","356,3","360,6","360,6","360,6","360,6","356,3","356,3","356,3","360,6","356,3","356,3","369,3","365,0","373,7","391,0","404,1","443,2","438,8","443,2","430,2","417,1","408,4","408,4","425,8"
3207,Nepomuk,32,11279,24. 9. 2025,17. 9. 2025,"487,6","487,6","469,9","17,7",100,99,89,77,77,85,85,77,76,76,77,77,76,75,75,75,75,75,75,75,75,75,76,75,75,75,75,75,75,75,76,75,75,75,75,75,75,75,75,76,77,77,75,75,75,76,75,75,79,77,76,75,"629,5","620,6","558,6","487,6","487,6","532,0","532,0","487,6","478,8","478,8","487,6","487,6","478,8","469,9","469,9","469,9","469,9","469,9","469,9","469,9","469,9","469,9","478,8","469,9","469,9","469,9","469,9","469,9","469,9","469,9","478,8","469,9","469,9","469,9","469,9","469,9","469,9","469,9","469,9","478,8","487,6","487,6","469,9","469,9","469,9","478,8","469,9","469,9","496,5","487,6","478,8","469,9","469,9","478,8","478,8","478,8","478,8","487,6","487,6"
3208,Nýřany,32,60054,24. 9. 2025,17. 9. 2025,"426,3","426,3","434,6","-8,3",99,100,97,95,88,87,86,84,81,82,83,82,81,78,79,78,78,78,80,80,79,78,78,78,78,78,78,78,78,79,79,78,78,78,79,79,79,79,78,78,79,80,79,79,79,79,80,79,80,83,86,88,"487,9","491,2","474,6","466,2","432,9","426,3","423,0","414,6","396,3","404,6","408,0","403,0","396,3","383,0","386,3","384,7","383,0","383,0","391,3","391,3","386,3","383,0","384,7","383,0","383,0","383,0","383,0","383,0","384,7","388,0","386,3","384,7","384,7","384,7","388,0","389,6","388,0","388,0","384,7","384,7","388,0","393,0","388,0","388,0","389,6","389,6","391,3","389,6","394,6","406,3","423,0","434,6","437,9","436,3","426,3","424,6","419,6","424,6","426,3"
3209,Plzeň,32,201517,24. 9. 2025,17. 9. 2025,"405,9","405,9","389,5","16,4",93,100,96,93,85,79,75,74,73,73,72,72,71,70,70,70,71,71,70,70,69,70,69,69,69,69,68,68,69,68,68,68,68,68,68,68,68,69,70,70,69,69,69,69,69,69,69,70,71,73,74,77,"469,4","505,7","486,8","471,4","430,2","397,5","377,6","372,2","369,7","368,7","363,7","361,8","361,3","355,3","356,3","352,3","356,8","357,8","354,3","351,8","351,3","352,3","347,9","347,4","348,4","346,9","344,9","346,4","347,4","345,4","343,9","345,4","343,9","343,9","343,4","344,9","346,4","348,4","352,3","354,8","350,3","348,4","348,9","348,4","348,4","349,4","350,8","355,8","359,8","371,2","376,6","389,5","389,0","387,1","383,6","381,1","392,0","400,5","405,9"
3210,Přeštice,32,23046,24. 9. 2025,17. 9. 2025,"433,9","433,9","442,6","-8,7",81,90,100,91,82,80,75,78,79,74,74,75,75,75,74,73,73,74,74,74,74,74,73,73,74,74,74,73,73,74,74,73,73,74,74,74,74,74,74,74,74,73,73,74,74,74,74,75,75,79,78,82,"438,3","490,3","542,4","494,7","446,9","433,9","407,9","420,9","429,6","403,5","399,2","407,9","407,9","407,9","403,5","394,9","394,9","399,2","403,5","399,2","399,2","399,2","394,9","394,9","399,2","399,2","403,5","394,9","394,9","399,2","399,2","394,9","394,9","399,2","399,2","399,2","399,2","399,2","403,5","403,5","403,5","394,9","394,9","403,5","403,5","399,2","399,2","407,9","407,9","429,6","425,2","442,6","442,6","451,3","438,3","433,9","429,6","433,9","433,9"
3211,Rokycany,32,50258,24. 9. 2025,17. 9. 2025,"676,5","676,5","624,8","51,7",99,100,96,88,80,75,74,74,72,73,73,72,71,70,69,70,72,72,71,70,72,71,70,70,70,70,70,69,69,70,70,70,69,69,69,70,70,70,70,69,70,70,70,70,70,70,70,71,71,74,76,77,"795,9","807,8","774,0","714,3","646,7","608,9","596,9","598,9","585,0","589,0","592,9","581,0","577,0","565,1","559,1","563,1","579,0","583,0","577,0","569,1","579,0","571,1","567,1","565,1","565,1","565,1","563,1","561,1","561,1","567,1","569,1","563,1","559,1","561,1","561,1","563,1","565,1","565,1","565,1","561,1","565,1","565,1","565,1","563,1","565,1","569,1","569,1","573,0","575,0","596,9","610,8","624,8","620,8","636,7","630,7","634,7","650,6","664,6","676,5"
3212,Stod,32,24201,24. 9. 2025,17. 9. 2025,"446,3","446,3","438,0","8,3",97,100,93,93,90,88,86,82,82,82,80,79,79,78,78,78,78,78,78,79,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,80,79,78,78,79,80,80,82,85,88,"479,3","495,8","462,8","462,8","446,3","433,9","425,6","404,9","404,9","409,1","396,7","392,5","392,5","384,3","384,3","384,3","384,3","388,4","388,4","392,5","384,3","388,4","384,3","384,3","384,3","384,3","388,4","384,3","384,3","384,3","384,3","388,4","388,4","384,3","384,3","384,3","384,3","384,3","384,3","392,5","392,5","392,5","396,7","392,5","388,4","388,4","392,5","396,7","396,7","404,9","421,5","438,0","429,7","429,7","425,6","425,6","429,7","438,0","446,3"
3213,Stříbro,32,17656,24. 9. 2025,17. 9. 2025,"453,1","453,1","436,1","17,0",96,100,93,95,84,82,81,81,82,84,85,84,81,84,80,84,84,78,79,81,80,80,80,80,81,82,81,80,80,80,80,80,80,80,80,80,80,80,81,80,80,80,80,80,80,81,81,80,81,82,87,85,"492,8","515,4","481,4","487,1","430,4","424,8","419,1","419,1","424,8","430,4","436,1","430,4","419,1","430,4","413,5","430,4","430,4","402,1","407,8","419,1","413,5","413,5","413,5","413,5","419,1","424,8","419,1","413,5","413,5","413,5","413,5","413,5","413,5","413,5","413,5","413,5","413,5","413,5","419,1","413,5","413,5","413,5","413,5","413,5","413,5","419,1","419,1","413,5","419,1","424,8","447,4","436,1","430,4","430,4","424,8","424,8","447,4","441,8","453,1"
3214,Sušice,32,23921,24. 9. 2025,17. 9. 2025,"589,4","589,4","581,1","8,4",100,94,90,98,99,88,87,86,86,85,86,85,86,85,85,83,83,83,83,83,83,83,83,84,83,85,84,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,83,83,83,84,83,84,85,84,85,86,"677,2","639,6","606,2","660,5","668,9","597,8","589,4","585,3","585,3","576,9","581,1","576,9","581,1","572,7","576,9","560,2","564,4","560,2","564,4","560,2","564,4","560,2","564,4","568,5","564,4","572,7","568,5","560,2","560,2","560,2","560,2","560,2","560,2","560,2","564,4","564,4","560,2","560,2","560,2","560,2","568,5","568,5","564,4","560,2","560,2","568,5","564,4","568,5","572,7","568,5","576,9","581,1","581,1","576,9","576,9","576,9","581,1","585,3","589,4"
3215,Tachov,32,39250,24. 9. 2025,17. 9. 2025,"591,1","591,1","596,2","-5,1",100,97,92,87,87,88,87,89,85,86,84,85,84,83,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,82,82,82,82,82,87,89,"667,5","647,1","616,6","578,3","580,9","588,5","580,9","593,6","565,6","573,2","563,1","568,2","560,5","552,9","547,8","545,2","545,2","547,8","547,8","547,8","547,8","547,8","547,8","545,2","545,2","545,2","545,2","545,2","545,2","550,3","545,2","545,2","547,8","547,8","547,8","547,8","547,8","550,3","550,3","550,3","547,8","545,2","547,8","550,3","542,7","545,2","545,2","547,8","545,2","547,8","580,9","596,2","601,3","588,5","583,4","578,3","588,5","586,0","591,1"
4101,Aš,41,17265,24. 9. 2025,17. 9. 2025,"718,2","718,2","724,0","-5,8",99,99,100,98,96,95,96,96,94,94,93,92,92,93,92,92,92,92,92,93,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,94,94,94,94,94,94,94,94,94,94,95,95,"758,8","758,8","764,6","747,2","735,6","724,0","735,6","735,6","718,2","718,2","712,4","706,6","700,8","712,4","706,6","706,6","706,6","706,6","706,6","712,4","712,4","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","700,8","718,2","718,2","718,2","718,2","718,2","718,2","718,2","718,2","718,2","718,2","724,0","724,0","718,2","718,2","718,2","718,2","718,2","718,2","718,2"
4102,Cheb,41,50190,24. 9. 2025,17. 9. 2025,"713,3","713,3","711,3","2,0",99,97,98,99,98,96,95,95,94,93,93,94,93,93,93,93,93,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,97,97,97,97,97,98,97,97,97,97,98,100,"701,3","693,4","699,3","707,3","695,4","685,4","673,4","673,4","671,4","663,5","663,5","665,5","663,5","661,5","659,5","659,5","661,5","659,5","653,5","655,5","655,5","651,5","653,5","655,5","653,5","653,5","653,5","653,5","653,5","655,5","655,5","651,5","651,5","651,5","651,5","651,5","651,5","651,5","651,5","653,5","693,4","691,4","689,4","689,4","689,4","695,4","691,4","691,4","691,4","689,4","695,4","711,3","709,3","713,3","711,3","709,3","711,3","711,3","713,3"
4103,Karlovy Vary,41,88206,24. 9. 2025,17. 9. 2025,"568,0","568,0","540,8","27,2",98,98,97,98,100,96,91,89,89,88,88,86,85,85,83,83,84,83,83,83,83,83,83,83,83,83,83,83,83,83,82,82,83,83,83,83,82,83,83,83,83,83,83,83,83,83,83,83,84,84,85,87,"608,8","609,9","603,1","609,9","623,5","598,6","565,7","553,3","556,7","551,0","549,8","535,1","528,3","529,4","520,4","520,4","521,5","520,4","518,1","517,0","517,0","514,7","515,8","517,0","515,8","514,7","514,7","514,7","514,7","514,7","513,6","513,6","514,7","514,7","515,8","515,8","513,6","514,7","514,7","518,1","518,1","514,7","515,8","517,0","515,8","518,1","520,4","520,4","521,5","522,6","527,2","540,8","543,0","543,0","539,6","537,4","552,1","562,3","568,0"
4104,Kraslice,41,12832,24. 9. 2025,17. 9. 2025,"678,0","678,0","662,4","15,6",95,100,100,98,95,94,95,95,95,95,95,95,97,97,97,97,97,97,97,97,97,97,97,97,97,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,97,97,"654,6","685,8","685,8","670,2","654,6","646,8","654,6","654,6","654,6","654,6","654,6","654,6","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","662,4","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","654,6","662,4","662,4","662,4","670,2","662,4","662,4","678,0","678,0","678,0"
4105,Mariánské Lázně,41,25181,24. 9. 2025,17. 9. 2025,"671,1","671,1","659,2","11,9",94,96,97,100,98,94,94,94,93,93,92,93,93,92,92,92,92,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,93,"663,2","679,1","683,1","706,9","695,0","667,2","663,2","663,2","659,2","655,3","651,3","659,2","655,3","647,3","647,3","647,3","647,3","655,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","647,3","651,3","651,3","651,3","651,3","655,3","659,2","659,2","659,2","659,2","659,2","663,2","671,1","671,1"
