datum,Týdenní přírůstek
2025-03-03,296
2025-03-04,290
2025-03-05,280
2025-03-06,274
2025-03-07,253
2025-03-08,249
2025-03-09,248
2025-03-10,255
2025-03-11,277
2025-03-12,276
2025-03-13,270
2025-03-14,274
2025-03-15,276
2025-03-16,277
2025-03-17,250
2025-03-18,224
2025-03-19,213
2025-03-20,214
2025-03-21,214
2025-03-22,209
2025-03-23,207
2025-03-24,251
2025-03-25,263
2025-03-26,282
2025-03-27,282
2025-03-28,275
2025-03-29,278
2025-03-30,282
2025-03-31,236
2025-04-01,239
2025-04-02,220
2025-04-03,217
2025-04-04,211
2025-04-05,209
2025-04-06,204
2025-04-07,187
2025-04-08,155
2025-04-09,139
2025-04-10,147
2025-04-11,143
2025-04-12,145
2025-04-13,148
2025-04-14,157
2025-04-15,159
2025-04-16,170
2025-04-17,169
2025-04-18,155
2025-04-19,155
2025-04-20,155
2025-04-21,113
2025-04-22,109
2025-04-23,94
2025-04-24,82
2025-04-25,95
2025-04-26,94
2025-04-27,90
2025-04-28,112
2025-04-29,105
2025-04-30,118
2025-05-01,98
2025-05-02,96
2025-05-03,95
2025-05-04,97
2025-05-05,99
2025-05-06,87
2025-05-07,70
2025-05-08,72
2025-05-09,80
2025-05-10,78
2025-05-11,76
2025-05-12,82
2025-05-13,96
2025-05-14,104
2025-05-15,124
2025-05-16,123
2025-05-17,124
2025-05-18,125
2025-05-19,137
2025-05-20,136
2025-05-21,136
2025-05-22,144
2025-05-23,141
2025-05-24,140
2025-05-25,139
2025-05-26,147
2025-05-27,165
2025-05-28,185
2025-05-29,208
2025-05-30,230
2025-05-31,234
2025-06-01,233
2025-06-02,267
2025-06-03,279
2025-06-04,268
2025-06-05,253
2025-06-06,261
2025-06-07,258
2025-06-08,265
2025-06-09,229
2025-06-10,221
2025-06-11,223
2025-06-12,225
2025-06-13,215
2025-06-14,221
2025-06-15,221
2025-06-16,230
2025-06-17,235
2025-06-18,249
2025-06-19,246
2025-06-20,238
2025-06-21,232
2025-06-22,227
2025-06-23,239
2025-06-24,247
2025-06-25,232
2025-06-26,244
2025-06-27,252
2025-06-28,254
2025-06-29,262
2025-06-30,265
2025-07-01,288
2025-07-02,317
2025-07-03,319
2025-07-04,329
2025-07-05,327
2025-07-06,326
2025-07-07,317
2025-07-08,288
2025-07-09,254
2025-07-10,235
2025-07-11,222
2025-07-12,224
2025-07-13,217
2025-07-14,218
2025-07-15,217
2025-07-16,231
2025-07-17,243
2025-07-18,253
2025-07-19,256
2025-07-20,262
2025-07-21,267
2025-07-22,258
2025-07-23,257
2025-07-24,299
2025-07-25,292
2025-07-26,287
2025-07-27,283
2025-07-28,300
2025-07-29,318
2025-07-30,338
2025-07-31,321
2025-08-01,341
2025-08-02,345
2025-08-03,343
2025-08-04,364
2025-08-05,384
2025-08-06,407
2025-08-07,409
2025-08-08,423
2025-08-09,422
2025-08-10,428
2025-08-11,444
2025-08-12,459
2025-08-13,478
2025-08-14,504
2025-08-15,522
2025-08-16,526
2025-08-17,527
2025-08-18,593
2025-08-19,637
2025-08-20,646
2025-08-21,654
2025-08-22,685
2025-08-23,688
2025-08-24,688
2025-08-25,727
2025-08-26,775
2025-08-27,882
2025-08-28,979
2025-08-29,1053
2025-08-30,1055
2025-08-31,1049
2025-09-01,1191
2025-09-02,1327
2025-09-03,1403
2025-09-04,1483
